"id","givenName","familyName","middleName","unaccentedGivenName","unaccentedFamilyName","unaccentedMiddleName","nickName","honorificPrefix","honorificSuffix","honorificTitle","birthYear","deathYear","congresses"
"B000226","Richard","Bassett",,"Richard","Bassett",,,,,,"1745","1815","[{""position"":""Senator"",""congressNumber"":1,""stateName"":""DE"",""parties"":[""Anti-Administration""]},{""position"":""Senator"",""congressNumber"":2,""stateName"":""DE"",""parties"":[""Anti-Administration""]}]"
"B001186","Pierce","Butler",,"Pierce","Butler",,,,,,"1744","1822","[{""position"":""Delegate"",""congressNumber"":1,""stateName"":""SC""},{""position"":""Senator"",""congressNumber"":1,""stateName"":""SC"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":2,""stateName"":""SC"",""parties"":[""Anti-Administration""]},{""position"":""Senator"",""congressNumber"":3,""stateName"":""SC"",""parties"":[""Anti-Administration""]},{""position"":""Senator"",""congressNumber"":4,""stateName"":""SC"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":7,""stateName"":""SC"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":8,""stateName"":""SC"",""parties"":[""Democratic Republican""]}]"
"C000185","Charles","Carroll",,"Charles","Carroll",,"of Carrollton",,,,"1737","1832","[{""position"":""Delegate"",""congressNumber"":2,""stateName"":""MD""},{""position"":""Senator"",""congressNumber"":1,""stateName"":""MD"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":2,""stateName"":""MD"",""parties"":[""Pro-Administration""]}]"
"D000013","Tristram","Dalton",,"Tristram","Dalton",,,,,,"1738","1817","[{""position"":""Senator"",""congressNumber"":1,""stateName"":""MA"",""parties"":[""Pro-Administration""]}]"
"D000324","Philemon","Dickinson",,"Philemon","Dickinson",,,,,,"1739","1809","[{""position"":""Delegate"",""congressNumber"":1,""stateName"":""DE""},{""position"":""Senator"",""congressNumber"":1,""stateName"":""NJ"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":2,""stateName"":""NJ"",""parties"":[""Pro-Administration""]}]"
"E000147","Oliver","Ellsworth",,"Oliver","Ellsworth",,,,,,"1745","1807","[{""position"":""Delegate"",""congressNumber"":2,""stateName"":""CT""},{""position"":""Delegate"",""congressNumber"":1,""stateName"":""CT""},{""position"":""Senator"",""congressNumber"":1,""stateName"":""CT"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":2,""stateName"":""CT"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":3,""stateName"":""CT"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":4,""stateName"":""CT"",""parties"":[""Pro-Administration""]}]"
"E000155","Jonathan","Elmer",,"Jonathan","Elmer",,,,,,"1745","1817","[{""position"":""Delegate"",""congressNumber"":2,""stateName"":""NJ""},{""position"":""Delegate"",""congressNumber"":1,""stateName"":""NJ""},{""position"":""Senator"",""congressNumber"":1,""stateName"":""NJ"",""parties"":[""Pro-Administration""]}]"
"F000100","William","Few",,"William","Few",,,,,,"1748","1828","[{""position"":""Delegate"",""congressNumber"":2,""stateName"":""GA""},{""position"":""Delegate"",""congressNumber"":1,""stateName"":""GA""},{""position"":""Senator"",""congressNumber"":1,""stateName"":""GA"",""parties"":[""Anti-Administration""]},{""position"":""Senator"",""congressNumber"":2,""stateName"":""GA"",""parties"":[""Anti-Administration""]}]"
"F000313","Theodore","Foster",,"Theodore","Foster",,,,,,"1752","1828","[{""position"":""Senator"",""congressNumber"":1,""stateName"":""RI"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":2,""stateName"":""RI"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":3,""stateName"":""RI"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":4,""stateName"":""RI"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":5,""stateName"":""RI"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":6,""stateName"":""RI"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":7,""stateName"":""RI"",""parties"":[""Federalist""]}]"
"G000403","William","Grayson",,"William","Grayson",,,,,,"1740","1790","[{""position"":""Delegate"",""congressNumber"":1,""stateName"":""VA""},{""position"":""Senator"",""congressNumber"":1,""stateName"":""VA"",""parties"":[""Anti-Administration""]}]"
