,committee,date,congress,page
0,Cmte to prepare certificates of elections for GW & JA,1789-04-06,1,1
1,Cmte to bring bill for organizing the judiciary,1798-04-07,1,1
2,"cmte (1 member from each state on

emte)",1789-04-07,1,1
3,"Cmte to prepare rules for Senate, HR & Senate in cases of
conference, etc",1789-04-09,1,1
4,Cmte to make arrangements for receiving the PUS,1789-04-13,1,1
5,"Jt Cmte to consider & report disposition of papers in office of
late Secretary of Congress",1789-04-13,1,1
6,"Cmte to consider & report on letter from NYC mayor, et al
tendering Congress use of City Hall",1789-04-14,1,1
7,Cmte on journals (printing & distribution),1789-04-16,1,1
8,Cmte to wait on PUS,1789-04-16,1,1
9,Cmte to wait on VP,1789-04-16,1,1
10,Cmte to determine mode of communication b/w Senate and HR,1789-04-20,1,1
11,Cmte to conduct VP to Senate,1789-04-23,1,1
12,Cmte on titles & when administer oath,1789-04-25,1,1
13,Cmte to receive PUS & make arrangements,1789-04-29,1,1
14,Cmte on bill for oaths,1789-04-30,1,1
16,Jt emte on enrolled bills,1790-12-22,1,10
17,‘omte to consider Sec of State's report on weights & measures,1790-12-23,1,10
18,‘omte on PUS's message of Dec 23 on land grants in NW territory,1790-12-28,1,10
19,‘omte on S,1790-12-31,1,10
20,‘omte to whom recommitted consuls bill,1791-03-02,1,10
21,emte on next meeting of Congress,1791-01-05,1,10
22,"‘omte on motion regarding furnishing members extracts from
executive journals",1791-01-12,1,10
23,"‘omte on letter from Gov Randolph & VA resolutions on bounty
lines",1791-01-21,1,10
24,‘omte on whiskey (excise) bill,1791-01-21,1,10
25,‘omte on 1791 appropriations bill,1791-01-31,1,10
26,"‘omte on Sec of T's report on establishing a mint (brought from
HR)",1791-02-02,1,10
27,‘omte on VT boundary dispute with NY,1791-02-03,1,10
28,‘omte on foreign officers debt bill,1791-02-07,1,10
29,‘omte on regiment bill,1791-02-09,1,10
30,"‘omte on petition of Donald Campbell (compensation for services
during rev war)",1791-02-12,1,10
31,‘omte on land office bill,1791-02-14,1,10
32,,1791-02-15,1,10
