NAME,VOTES,COMMITTEE,CMTE_TYPE,MONTH,DAY,YEAR,CONGRESS,PAGE
And,2,Cmte on revision of laws about to expire,,Mar,11,1800,6,10
Blood,7,Cmte on revision of laws about to expire,,Mar,11,1800,6,10
Brown,1,Cmte on revision of laws about to expire,,Mar,11,1800,6,10
Chip,5,Cmte on revision of laws about to expire,,Mar,11,1800,6,10
Cocke,2,Cmte on revision of laws about to expire,,Mar,11,1800,6,10
Day,4,Cmte on revision of laws about to expire,,Mar,11,1800,6,10
Foster,1,Cmte on revision of laws about to expire,,Mar,11,1800,6,10
Frank,2,Cmte on revision of laws about to expire,,Mar,11,1800,6,10
Good,2,Cmte on revision of laws about to expire,,Mar,11,1800,6,10
Greene,4,Cmte on revision of laws about to expire,,Mar,11,1800,6,10
Gunn,2,Cmte on revision of laws about to expire,,Mar,11,1800,6,10
Hill,1,Cmte on revision of laws about to expire,,Mar,11,1800,6,10
How,1,Cmte on revision of laws about to expire,,Mar,11,1800,6,10
Lat,1,Cmte on revision of laws about to expire,,Mar,11,1800,6,10
Laur,2,Cmte on revision of laws about to expire,,Mar,11,1800,6,10
Liver,2,Cmte on revision of laws about to expire,,Mar,11,1800,6,10
Lloyd,3,Cmte on revision of laws about to expire,,Mar,11,1800,6,10
Marsh,3,Cmte on revision of laws about to expire,,Mar,11,1800,6,10
Mas,1,Cmte on revision of laws about to expire,,Mar,11,1800,6,10
Paine,3,Cmte on revision of laws about to expire,,Mar,11,1800,6,10
Pinckney,1,Cmte on revision of laws about to expire,,Mar,11,1800,6,10
Ross,4,Cmte on revision of laws about to expire,,Mar,11,1800,6,10
Tracy,19,Cmte on revision of laws about to expire,,Mar,11,1800,6,10
Watson,1,Cmte on revision of laws about to expire,,Mar,11,1800,6,10
And,13,Cmte on motion to amend judicial act---jurors,,Mar,12,1800,6,10
Blood,4,Cmte on motion to amend judicial act---jurors,,Mar,12,1800,6,10
Chip,18,Cmte on motion to amend judicial act---jurors,,Mar,12,1800,6,10
Dayton,1,Cmte on motion to amend judicial act---jurors,,Mar,12,1800,6,10
Frank,8,Cmte on motion to amend judicial act---jurors,,Mar,12,1800,6,10
Greene,3,Cmte on motion to amend judicial act---jurors,,Mar,12,1800,6,10
Gunn,1,Cmte on motion to amend judicial act---jurors,,Mar,12,1800,6,10
Lang,1,Cmte on motion to amend judicial act---jurors,,Mar,12,1800,6,10
Laur,19,Cmte on motion to amend judicial act---jurors,,Mar,12,1800,6,10
Liver,4,Cmte on motion to amend judicial act---jurors,,Mar,12,1800,6,10
Lloyd,2,Cmte on motion to amend judicial act---jurors,,Mar,12,1800,6,10
Marsh,1,Cmte on motion to amend judicial act---jurors,,Mar,12,1800,6,10
Mas,2,Cmte on motion to amend judicial act---jurors,,Mar,12,1800,6,10
Nich,10,Cmte on motion to amend judicial act---jurors,,Mar,12,1800,6,10
Paine,1,Cmte on motion to amend judicial act---jurors,,Mar,12,1800,6,10
Pinck,6,Cmte on motion to amend judicial act---jurors,,Mar,12,1800,6,10
Read,3,Cmte on motion to amend judicial act---jurors,,Mar,12,1800,6,10
Ross,6,Cmte on motion to amend judicial act---jurors,,Mar,12,1800,6,10
Schur,3,Cmte on motion to amend judicial act---jurors,,Mar,12,1800,6,10
Tracy,5,Cmte on motion to amend judicial act---jurors,,Mar,12,1800,6,10
Wat,1,Cmte on motion to amend judicial act---jurors,,Mar,12,1800,6,10
Wells,3,Cmte on motion to amend judicial act---jurors,,Mar,12,1800,6,10
And,8,Cmte on bill Post Roads,,Mar,12,1800,6,10
Bald,4,Cmte on bill Post Roads,,Mar,12,1800,6,10
Bing,4,Cmte on bill Post Roads,,Mar,12,1800,6,10
Blood,4,Cmte on bill Post Roads,,Mar,12,1800,6,10
Brown,3,Cmte on bill Post Roads,,Mar,12,1800,6,10
Chip,1,Cmte on bill Post Roads,,Mar,12,1800,6,10
Cocke,3,Cmte on bill Post Roads,,Mar,12,1800,6,10
Day,3,Cmte on bill Post Roads,,Mar,12,1800,6,10
Dex,1,Cmte on bill Post Roads,,Mar,12,1800,6,10
Foster,2,Cmte on bill Post Roads,,Mar,12,1800,6,10
Frank,5,Cmte on bill Post Roads,,Mar,12,1800,6,10
Good,2,Cmte on bill Post Roads,,Mar,12,1800,6,10
