name,votes,committee,cmte_type,date,congress,page
Burr,4,cmte Elections,,1791-11-01,2,8
Butler,4,cmte Elections,,1791-11-01,2,8
Cabot,1,cmte Elections,,1791-11-01,2,8
Dickerson,1,cmte Elections,,1791-11-01,2,8
Few,4,cmte Elections,,1791-11-01,2,8
Hawkins,1,cmte Elections,,1791-11-01,2,8
Henry,4,cmte Elections,,1791-11-01,2,8
Johnston,1,cmte Elections,,1791-11-01,2,8
King,2,cmte Elections,,1791-11-01,2,8
Read,4,cmte Elections,,1791-11-01,2,8
Rutherfurd,7,cmte Elections,,1791-11-01,2,8
Stanton,1,cmte Elections,,1791-11-01,2,8
Sherman,5,cmte Elections,,1791-11-01,2,8
Strong,3,cmte Elections,,1791-11-01,2,8
Wingate,2,cmte Elections,,1791-11-01,2,8
Butler,3,Officers of Judicial courts,,1791-11-01,2,8
Cabot,1,Officers of Judicial courts,,1791-11-01,2,8
Dickinson,2,Officers of Judicial courts,,1791-11-01,2,8
Few,1,Officers of Judicial courts,,1791-11-01,2,8
Foster,2,Officers of Judicial courts,,1791-11-01,2,8
Henry,8,Officers of Judicial courts,,1791-11-01,2,8
Johnston,1,Officers of Judicial courts,,1791-11-01,2,8
King,5,Officers of Judicial courts,,1791-11-01,2,8
Monroe,6,Officers of Judicial courts,,1791-11-01,2,8
Morris,1,Officers of Judicial courts,,1791-11-01,2,8
Read,4,Officers of Judicial courts,,1791-11-01,2,8
Rutherfurd,1,Officers of Judicial courts,,1791-11-01,2,8
Stanton,1,Officers of Judicial courts,,1791-11-01,2,8
Sherman,2,Officers of Judicial courts,,1791-11-01,2,8
Strong,8,Officers of Judicial courts,,1791-11-01,2,8
Wingate,2,Officers of Judicial courts,,1791-11-01,2,8
Burr,3,Cmte on coins,,1791-11-01,2,8
Butler,1,Cmte on coins,,1791-11-01,2,8
Cabot,3,Cmte on coins,,1791-11-01,2,8
Henry,2,Cmte on coins,,1791-11-01,2,8
Johnston,1,Cmte on coins,,1791-11-01,2,8
Izard,9,Cmte on coins,,1791-11-01,2,8
King,7,Cmte on coins,,1791-11-01,2,8
Langdon,5,Cmte on coins,,1791-11-01,2,8
Monroe,9,Cmte on coins,,1791-11-01,2,8
Morris,5,Cmte on coins,,1791-11-01,2,8
Rutherfurd,1,Cmte on coins,,1791-11-01,2,8
Sherman,2,Cmte on coins,,1791-11-01,2,8
Strong,2,Cmte on coins,,1791-11-01,2,8
