name,votes,committee,cmte_type,date,congress,page
Baldwin,3,Jt cmte to wait on PUS,,1805-12-02,9,3
Bradley,2,Jt cmte to wait on PUS,,1805-12-02,9,3
Condit,1,Jt cmte to wait on PUS,,1805-12-02,9,3
Gaillard,1,Jt cmte to wait on PUS,,1805-12-02,9,3
Gilman,1,Jt cmte to wait on PUS,,1805-12-02,9,3
Logan,1,Jt cmte to wait on PUS,,1805-12-02,9,3
Maclay,1,Jt cmte to wait on PUS,,1805-12-02,9,3
Mitchill,7,Jt cmte to wait on PUS,,1805-12-02,9,3
Pickering,2,Jt cmte to wait on PUS,,1805-12-02,9,3
Plumer,1,Jt cmte to wait on PUS,,1805-12-02,9,3
Smith(Vt),1,Jt cmte to wait on PUS,,1805-12-02,9,3
Sumter,8,Jt cmte to wait on PUS,,1805-12-02,9,3
Tracy,6,Jt cmte to wait on PUS,,1805-12-02,9,3
White,2,Jt cmte to wait on PUS,,1805-12-02,9,3
Worthington,1,Jt cmte to wait on PUS,,1805-12-02,9,3
Adams,1,Cmte on naval appropriation,,1805-12-05,9,3
Anderson,4,Cmte on naval appropriation,,1805-12-05,9,3
Baldwin,4,Cmte on naval appropriation,,1805-12-05,9,3
Bradley,6,Cmte on naval appropriation,,1805-12-05,9,3
Condit,1,Cmte on naval appropriation,,1805-12-05,9,3
Gaillard,1,Cmte on naval appropriation,,1805-12-05,9,3
Gilman,2,Cmte on naval appropriation,,1805-12-05,9,3
Logan,1,Cmte on naval appropriation,,1805-12-05,9,3
Mitchill,10,Cmte on naval appropriation,,1805-12-05,9,3
Pickering,4,Cmte on naval appropriation,,1805-12-05,9,3
Plumer,1,Cmte on naval appropriation,,1805-12-05,9,3
Smith(MD),1,Cmte on naval appropriation,,1805-12-05,9,3
Smith(TN),1,Cmte on naval appropriation,,1805-12-05,9,3
Smith(VT),2,Cmte on naval appropriation,,1805-12-05,9,3
Stone,1,Cmte on naval appropriation,,1805-12-05,9,3
Sumter,6,Cmte on naval appropriation,,1805-12-05,9,3
Thruston,1,Cmte on naval appropriation,,1805-12-05,9,3
Tracy,6,Cmte on naval appropriation,,1805-12-05,9,3
White,1,Cmte on naval appropriation,,1805-12-05,9,3
Worthington,1,Cmte on naval appropriation,,1805-12-05,9,3
Wright,2,Cmte on naval appropriation,,1805-12-05,9,3
Adams,4,cmte on Library,,1805-12-06,9,3
Anderson,1,cmte on Library,,1805-12-06,9,3
Baldwin,10,cmte on Library,,1805-12-06,9,3
Bradley,2,cmte on Library,,1805-12-06,9,3
Condit,1,cmte on Library,,1805-12-06,9,3
