name,votes,committee,cmte_type,date,congress,page,first,st
barbour,7,Cmte on Daggett's resolution for distribution of certain documents,,1817-12-08,15,3,,
burrill,1,Cmte on Daggett's resolution for distribution of certain documents,,1817-12-08,15,3,,
campbell,1,Cmte on Daggett's resolution for distribution of certain documents,,1817-12-08,15,3,,
daggett,15,Cmte on Daggett's resolution for distribution of certain documents,,1817-12-08,15,3,,
dickerson,1,Cmte on Daggett's resolution for distribution of certain documents,,1817-12-08,15,3,,
horsey,1,Cmte on Daggett's resolution for distribution of certain documents,,1817-12-08,15,3,,
king,1,Cmte on Daggett's resolution for distribution of certain documents,,1817-12-08,15,3,,
macon,3,Cmte on Daggett's resolution for distribution of certain documents,,1817-12-08,15,3,,
otis,1,Cmte on Daggett's resolution for distribution of certain documents,,1817-12-08,15,3,,
roberts,15,Cmte on Daggett's resolution for distribution of certain documents,,1817-12-08,15,3,,
sanford,2,Cmte on Daggett's resolution for distribution of certain documents,,1817-12-08,15,3,,
smith,2,Cmte on Daggett's resolution for distribution of certain documents,,1817-12-08,15,3,,
tait,5,Cmte on Daggett's resolution for distribution of certain documents,,1817-12-08,15,3,,
taylor,1,Cmte on Daggett's resolution for distribution of certain documents,,1817-12-08,15,3,,
wilson,1,Cmte on Daggett's resolution for distribution of certain documents,,1817-12-08,15,3,,
ashmun,3,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4,,
barbour,17,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4,,
burrill,1,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4,,
crittenden,4,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4,,
daggett,4,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4,,
dickerson,4,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4,,
eppes,6,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4,,
fisk,2,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4,,
goldsborough,2,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4,,
king,7,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4,,
lacock,8,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4,,
macon,7,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4,,
morril,2,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4,,
ruggles,2,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4,,
sanford,4,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4,,
smith,6,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4,,
storer,4,Cmte on Barbour's proposed Constitutional amendment on internal improvements,,1817-12-10,15,4,,
