NAME,VOTES,COMMITTEE,CMTE_TYPE,MONTH,DAY,YEAR,CONGRESS,PAGE,first,st
bingham,1,Cmte on the report of Sec of War on Indian trade,,Dec,16,1795,4,1,,
brown,6,Cmte on the report of Sec of War on Indian trade,,Dec,16,1795,4,1,,
burr,8,Cmte on the report of Sec of War on Indian trade,,Dec,16,1795,4,1,,
cabot,3,Cmte on the report of Sec of War on Indian trade,,Dec,16,1795,4,1,,
ellsworth,6,Cmte on the report of Sec of War on Indian trade,,Dec,16,1795,4,1,,
foster,1,Cmte on the report of Sec of War on Indian trade,,Dec,16,1795,4,1,,
frelinghuysen,4,Cmte on the report of Sec of War on Indian trade,,Dec,16,1795,4,1,,
gunn,1,Cmte on the report of Sec of War on Indian trade,,Dec,16,1795,4,1,,
king,2,Cmte on the report of Sec of War on Indian trade,,Dec,16,1795,4,1,,
langdon,1,Cmte on the report of Sec of War on Indian trade,,Dec,16,1795,4,1,,
latimer,1,Cmte on the report of Sec of War on Indian trade,,Dec,16,1795,4,1,,
livermore,2,Cmte on the report of Sec of War on Indian trade,,Dec,16,1795,4,1,,
marshall,4,Cmte on the report of Sec of War on Indian trade,,Dec,16,1795,4,1,,
martin,3,Cmte on the report of Sec of War on Indian trade,,Dec,16,1795,4,1,,
mason,5,Cmte on the report of Sec of War on Indian trade,,Dec,16,1795,4,1,,
ross,1,Cmte on the report of Sec of War on Indian trade,,Dec,16,1795,4,1,,
rutherfurd,1,Cmte on the report of Sec of War on Indian trade,,Dec,16,1795,4,1,,
strong,3,Cmte on the report of Sec of War on Indian trade,,Dec,16,1795,4,1,,
tazewell,2,Cmte on the report of Sec of War on Indian trade,,Dec,16,1795,4,1,,
trumbull,2,Cmte on the report of Sec of War on Indian trade,,Dec,16,1795,4,1,,
bingham,1,cmte on unfinished business,,Dec,17,1795,4,1,,
bradford,2,cmte on unfinished business,,Dec,17,1795,4,1,,
brown,1,cmte on unfinished business,,Dec,17,1795,4,1,,
burr,8,cmte on unfinished business,,Dec,17,1795,4,1,,
butler,2,cmte on unfinished business,,Dec,17,1795,4,1,,
ellsworth,3,cmte on unfinished business,,Dec,17,1795,4,1,,
frelinghuysen,2,cmte on unfinished business,,Dec,17,1795,4,1,,
king,1,cmte on unfinished business,,Dec,17,1795,4,1,,
langdon,1,cmte on unfinished business,,Dec,17,1795,4,1,,
livermore,11,cmte on unfinished business,,Dec,17,1795,4,1,,
marshall,2,cmte on unfinished business,,Dec,17,1795,4,1,,
martin,1,cmte on unfinished business,,Dec,17,1795,4,1,,
paine,1,cmte on unfinished business,,Dec,17,1795,4,1,,
read,2,cmte on unfinished business,,Dec,17,1795,4,1,,
robinson,2,cmte on unfinished business,,Dec,17,1795,4,1,,
strong,17,cmte on unfinished business,,Dec,17,1795,4,1,,
tazewell,2,cmte on unfinished business,,Dec,17,1795,4,1,,
trumbull,2,cmte on unfinished business,,Dec,17,1795,4,1,,
bingham,1,Cmte on answer to PUS’s message,,Dec,8,1795,4,1,,
butler,4,Cmte on answer to PUS’s message,,Dec,8,1795,4,1,,
cabot,6,Cmte on answer to PUS’s message,,Dec,8,1795,4,1,,
ellsworth,7,Cmte on answer to PUS’s message,,Dec,8,1795,4,1,,
king,10,Cmte on answer to PUS’s message,,Dec,8,1795,4,1,,
langdon,5,Cmte on answer to PUS’s message,,Dec,8,1795,4,1,,
livermore,2,Cmte on answer to PUS’s message,,Dec,8,1795,4,1,,
martin,2,Cmte on answer to PUS’s message,,Dec,8,1795,4,1,,
mason,3,Cmte on answer to PUS’s message,,Dec,8,1795,4,1,,
read,2,Cmte on answer to PUS’s message,,Dec,8,1795,4,1,,
ross,4,Cmte on answer to PUS’s message,,Dec,8,1795,4,1,,
strong,5,Cmte on answer to PUS’s message,,Dec,8,1795,4,1,,
tazewell,1,Cmte on answer to PUS’s message,,Dec,8,1795,4,1,,
trumbull,1,Cmte on answer to PUS’s message,,Dec,8,1795,4,1,,
bingham,2,cmte on petition of John Blanch,,Dec,14,1795,4,1,,
butler,14,cmte on petition of John Blanch,,Dec,14,1795,4,1,,
cabot,3,cmte on petition of John Blanch,,Dec,14,1795,4,1,,
ellsworth,4,cmte on petition of John Blanch,,Dec,14,1795,4,1,,
frelinghuysen,2,cmte on petition of John Blanch,,Dec,14,1795,4,1,,
livermore,4,cmte on petition of John Blanch,,Dec,14,1795,4,1,,
paine,1,cmte on petition of John Blanch,,Dec,14,1795,4,1,,
read,5,cmte on petition of John Blanch,,Dec,14,1795,4,1,,
ross,2,cmte on petition of John Blanch,,Dec,14,1795,4,1,,
rutherfurd,5,cmte on petition of John Blanch,,Dec,14,1795,4,1,,
strong,8,cmte on petition of John Blanch,,Dec,14,1795,4,1,,
tazewell,3,cmte on petition of John Blanch,,Dec,14,1795,4,1,,
bingham,7,Cmte on mint,,Dec,14,1795,4,1,,
butler,2,Cmte on mint,,Dec,14,1795,4,1,,
cabot,11,Cmte on mint,,Dec,14,1795,4,1,,
ellsworth,4,Cmte on mint,,Dec,14,1795,4,1,,
king,5,Cmte on mint,,Dec,14,1795,4,1,,
langdon,1,Cmte on mint,,Dec,14,1795,4,1,,
livermore,2,Cmte on mint,,Dec,14,1795,4,1,,
marshall,1,Cmte on mint,,Dec,14,1795,4,1,,
martin,3,Cmte on mint,,Dec,14,1795,4,1,,
read,1,Cmte on mint,,Dec,14,1795,4,1,,
rutherfurd,7,Cmte on mint,,Dec,14,1795,4,1,,
strong,2,Cmte on mint,,Dec,14,1795,4,1,,
tazewell,2,Cmte on mint,,Dec,14,1795,4,1,,
trumbull,2,Cmte on mint,,Dec,14,1795,4,1,,
bingham,2,Cmte Indian Treaty,,Dec,18,1795,4,1,,
bloodworth,1,Cmte Indian Treaty,,Dec,18,1795,4,1,,
bradford,3,Cmte Indian Treaty,,Dec,18,1795,4,1,,
brown,10,Cmte Indian Treaty,,Dec,18,1795,4,1,,
burr,12,Cmte Indian Treaty,,Dec,18,1795,4,1,,
cabot,3,Cmte Indian Treaty,,Dec,18,1795,4,1,,
ellsworth,10,Cmte Indian Treaty,,Dec,18,1795,4,1,,
foster,2,Cmte Indian Treaty,,Dec,18,1795,4,1,,
frelinghuysen,2,Cmte Indian Treaty,,Dec,18,1795,4,1,,
gunn,7,Cmte Indian Treaty,,Dec,18,1795,4,1,,
king,7,Cmte Indian Treaty,,Dec,18,1795,4,1,,
langdon,3,Cmte Indian Treaty,,Dec,18,1795,4,1,,
latimer,1,Cmte Indian Treaty,,Dec,18,1795,4,1,,
livermore,7,Cmte Indian Treaty,,Dec,18,1795,4,1,,
marshall,4,Cmte Indian Treaty,,Dec,18,1795,4,1,,
martin,1,Cmte Indian Treaty,,Dec,18,1795,4,1,,
mason,2,Cmte Indian Treaty,,Dec,18,1795,4,1,,
paine,3,Cmte Indian Treaty,,Dec,18,1795,4,1,,
read,2,Cmte Indian Treaty,,Dec,18,1795,4,1,,
robinson,1,Cmte Indian Treaty,,Dec,18,1795,4,1,,
ross,10,Cmte Indian Treaty,,Dec,18,1795,4,1,,
rutherfurd,2,Cmte Indian Treaty,,Dec,18,1795,4,1,,
strong,9,Cmte Indian Treaty,,Dec,18,1795,4,1,,
tazewell,8,Cmte Indian Treaty,,Dec,18,1795,4,1,,
trumbull,2,Cmte Indian Treaty,,Dec,18,1795,4,1,,
walton,5,Cmte Indian Treaty,,Dec,18,1795,4,1,,
bloodworth,1,Cmte Jerry Allen’s petition,,Dec,22,1795,4,1,,
bradford,4,Cmte Jerry Allen’s petition,,Dec,22,1795,4,1,,
brown,1,Cmte Jerry Allen’s petition,,Dec,22,1795,4,1,,
burr,1,Cmte Jerry Allen’s petition,,Dec,22,1795,4,1,,
cabot,3,Cmte Jerry Allen’s petition,,Dec,22,1795,4,1,,
ellsworth,5,Cmte Jerry Allen’s petition,,Dec,22,1795,4,1,,
foster,2,Cmte Jerry Allen’s petition,,Dec,22,1795,4,1,,
frelinghuysen,1,Cmte Jerry Allen’s petition,,Dec,22,1795,4,1,,
gunn,3,Cmte Jerry Allen’s petition,,Dec,22,1795,4,1,,
henry,1,Cmte Jerry Allen’s petition,,Dec,22,1795,4,1,,
king,5,Cmte Jerry Allen’s petition,,Dec,22,1795,4,1,,
langdon,2,Cmte Jerry Allen’s petition,,Dec,22,1795,4,1,,
livermore,15,Cmte Jerry Allen’s petition,,Dec,22,1795,4,1,,
marshall,1,Cmte Jerry Allen’s petition,,Dec,22,1795,4,1,,
mason,1,Cmte Jerry Allen’s petition,,Dec,22,1795,4,1,,
strong,6,Cmte Jerry Allen’s petition,,Dec,22,1795,4,1,,
tazewell,3,Cmte Jerry Allen’s petition,,Dec,22,1795,4,1,,
trumbull,1,Cmte Jerry Allen’s petition,,Dec,22,1795,4,1,,
vining,3,Cmte Jerry Allen’s petition,,Dec,22,1795,4,1,,
bloodworth,1,Cmte on enrolled bills,,Feb,2,1796,4,1,,
latimer,1,Cmte on enrolled bills,,Feb,2,1796,4,1,,
marshall,3,Cmte on enrolled bills,,Feb,2,1796,4,1,,
paine,12,Cmte on enrolled bills,,Feb,2,1796,4,1,,
trumbull,2,Cmte on enrolled bills,,Feb,2,1796,4,1,,
bradford,2,Cmte on outlawry bill,,Dec,23,1795,4,1,,
brown,2,Cmte on outlawry bill,,Dec,23,1795,4,1,,
burr,3,Cmte on outlawry bill,,Dec,23,1795,4,1,,
butler,2,Cmte on outlawry bill,,Dec,23,1795,4,1,,
cabot,1,Cmte on outlawry bill,,Dec,23,1795,4,1,,
ellsworth,13,Cmte on outlawry bill,,Dec,23,1795,4,1,,
gunn,1,Cmte on outlawry bill,,Dec,23,1795,4,1,,
king,5,Cmte on outlawry bill,,Dec,23,1795,4,1,,
latimer,1,Cmte on outlawry bill,,Dec,23,1795,4,1,,
livermore,3,Cmte on outlawry bill,,Dec,23,1795,4,1,,
marshall,1,Cmte on outlawry bill,,Dec,23,1795,4,1,,
martin,2,Cmte on outlawry bill,,Dec,23,1795,4,1,,
ross,6,Cmte on outlawry bill,,Dec,23,1795,4,1,,
strong,7,Cmte on outlawry bill,,Dec,23,1795,4,1,,
tazewell,6,Cmte on outlawry bill,,Dec,23,1795,4,1,,
vining,2,Cmte on outlawry bill,,Dec,23,1795,4,1,,
bingham,4,Cmte on Marine hospital bill,,Dec,28,1795,4,1,,
bloodworth,1,Cmte on Marine hospital bill,,Dec,28,1795,4,1,,
brown,1,Cmte on Marine hospital bill,,Dec,28,1795,4,1,,
burr,1,Cmte on Marine hospital bill,,Dec,28,1795,4,1,,
butler,2,Cmte on Marine hospital bill,,Dec,28,1795,4,1,,
cabot,3,Cmte on Marine hospital bill,,Dec,28,1795,4,1,,
ellsworth,3,Cmte on Marine hospital bill,,Dec,28,1795,4,1,,
henry,3,Cmte on Marine hospital bill,,Dec,28,1795,4,1,,
king,4,Cmte on Marine hospital bill,,Dec,28,1795,4,1,,
langdon,4,Cmte on Marine hospital bill,,Dec,28,1795,4,1,,
livermore,1,Cmte on Marine hospital bill,,Dec,28,1795,4,1,,
martin,1,Cmte on Marine hospital bill,,Dec,28,1795,4,1,,
mason,1,Cmte on Marine hospital bill,,Dec,28,1795,4,1,,
ross,3,Cmte on Marine hospital bill,,Dec,28,1795,4,1,,
strong,9,Cmte on Marine hospital bill,,Dec,28,1795,4,1,,
tazewell,17,Cmte on Marine hospital bill,,Dec,28,1795,4,1,,
trumbull,1,Cmte on Marine hospital bill,,Dec,28,1795,4,1,,
walton,1,Cmte on Marine hospital bill,,Dec,28,1795,4,1,,
bingham,6,Cmte on embargo,,Jun,1,1796,4,10,,
bloodworth,1,Cmte on embargo,,Jun,1,1796,4,10,,
bradford,4,Cmte on embargo,,Jun,1,1796,4,10,,
brown,2,Cmte on embargo,,Jun,1,1796,4,10,,
burr,1,Cmte on embargo,,Jun,1,1796,4,10,,
butler,6,Cmte on embargo,,Jun,1,1796,4,10,,
foster,1,Cmte on embargo,,Jun,1,1796,4,10,,
langdon,2,Cmte on embargo,,Jun,1,1796,4,10,,
latimer,1,Cmte on embargo,,Jun,1,1796,4,10,,
martin,2,Cmte on embargo,,Jun,1,1796,4,10,,
potts,5,Cmte on embargo,,Jun,1,1796,4,10,,
read,5,Cmte on embargo,,Jun,1,1796,4,10,,
ross,5,Cmte on embargo,,Jun,1,1796,4,10,,
tazewell,4,Cmte on embargo,,Jun,1,1796,4,10,,
trumbull,1,Cmte on embargo,,Jun,1,1796,4,10,,
bingham,1,Jt cmte to wait on PUS,,Dec,6,1796,4,10,,
bloodworth,1,Jt cmte to wait on PUS,,Dec,6,1796,4,10,,
blount,1,Jt cmte to wait on PUS,,Dec,6,1796,4,10,,
bradford,2,Jt cmte to wait on PUS,,Dec,6,1796,4,10,,
goodhue,1,Jt cmte to wait on PUS,,Dec,6,1796,4,10,,
gunn,4,Jt cmte to wait on PUS,,Dec,6,1796,4,10,,
hillhouse,1,Jt cmte to wait on PUS,,Dec,6,1796,4,10,,
langdon,3,Jt cmte to wait on PUS,,Dec,6,1796,4,10,,
latimer,1,Jt cmte to wait on PUS,,Dec,6,1796,4,10,,
livermore,8,Jt cmte to wait on PUS,,Dec,6,1796,4,10,,
read,9,Jt cmte to wait on PUS,,Dec,6,1796,4,10,,
rutherfurd,1,Jt cmte to wait on PUS,,Dec,6,1796,4,10,,
tracy,1,Jt cmte to wait on PUS,,Dec,6,1796,4,10,,
bingham,7,Cmte on PUS's speech,,Dec,7,1796,4,10,,
henry,3,Cmte on PUS's speech,,Dec,7,1796,4,10,,
hillhouse,1,Cmte on PUS's speech,,Dec,7,1796,4,10,,
langdon,1,Cmte on PUS's speech,,Dec,7,1796,4,10,,
laurance,0,Cmte on PUS's speech,,Dec,7,1796,4,10,,
livermore,5,Cmte on PUS's speech,,Dec,7,1796,4,10,,
marshall,1,Cmte on PUS's speech,,Dec,7,1796,4,10,,
martin,1,Cmte on PUS's speech,,Dec,7,1796,4,10,,
paine,2,Cmte on PUS's speech,,Dec,7,1796,4,10,,
read,13,Cmte on PUS's speech,,Dec,7,1796,4,10,,
rutherfurd,3,Cmte on PUS's speech,,Dec,7,1796,4,10,,
stockton,1,Cmte on PUS's speech,,Dec,7,1796,4,10,,
tracy,13,Cmte on PUS's speech,,Dec,7,1796,4,10,,
bingham,5,Cmte respecting resignation of senators,,Dec,8,1796,4,10,,
bradford,1,Cmte respecting resignation of senators,,Dec,8,1796,4,10,,
cocke,1,Cmte respecting resignation of senators,,Dec,8,1796,4,10,,
goodhue,1,Cmte respecting resignation of senators,,Dec,8,1796,4,10,,
henry,3,Cmte respecting resignation of senators,,Dec,8,1796,4,10,,
hillhouse,3,Cmte respecting resignation of senators,,Dec,8,1796,4,10,,
langdon,1,Cmte respecting resignation of senators,,Dec,8,1796,4,10,,
laurance,4,Cmte respecting resignation of senators,,Dec,8,1796,4,10,,
livermore,4,Cmte respecting resignation of senators,,Dec,8,1796,4,10,,
read,13,Cmte respecting resignation of senators,,Dec,8,1796,4,10,,
rutherfurd,1,Cmte respecting resignation of senators,,Dec,8,1796,4,10,,
stockton,14,Cmte respecting resignation of senators,,Dec,8,1796,4,10,,
tichenor,2,Cmte respecting resignation of senators,,Dec,8,1796,4,10,,
bingham,3,Cmte on compensation of clerks in office of secretary of Senate,,Dec,13,1796,4,10,,
brown,1,Cmte on compensation of clerks in office of secretary of Senate,,Dec,13,1796,4,10,,
cocke,3,Cmte on compensation of clerks in office of secretary of Senate,,Dec,13,1796,4,10,,
foster,1,Cmte on compensation of clerks in office of secretary of Senate,,Dec,13,1796,4,10,,
goodhue,3,Cmte on compensation of clerks in office of secretary of Senate,,Dec,13,1796,4,10,,
henry,4,Cmte on compensation of clerks in office of secretary of Senate,,Dec,13,1796,4,10,,
hillhouse,2,Cmte on compensation of clerks in office of secretary of Senate,,Dec,13,1796,4,10,,
langdon,2,Cmte on compensation of clerks in office of secretary of Senate,,Dec,13,1796,4,10,,
latimer,2,Cmte on compensation of clerks in office of secretary of Senate,,Dec,13,1796,4,10,,
laurance,1,Cmte on compensation of clerks in office of secretary of Senate,,Dec,13,1796,4,10,,
livermore,8,Cmte on compensation of clerks in office of secretary of Senate,,Dec,13,1796,4,10,,
marshall,1,Cmte on compensation of clerks in office of secretary of Senate,,Dec,13,1796,4,10,,
paine,4,Cmte on compensation of clerks in office of secretary of Senate,,Dec,13,1796,4,10,,
read,8,Cmte on compensation of clerks in office of secretary of Senate,,Dec,13,1796,4,10,,
rutherfurd,2,Cmte on compensation of clerks in office of secretary of Senate,,Dec,13,1796,4,10,,
stockton,3,Cmte on compensation of clerks in office of secretary of Senate,,Dec,13,1796,4,10,,
tazewell,1,Cmte on compensation of clerks in office of secretary of Senate,,Dec,13,1796,4,10,,
tracy,10,Cmte on compensation of clerks in office of secretary of Senate,,Dec,13,1796,4,10,,
bingham,1,Cmte on bill promulgation of laws,,Dec,14,1796,4,10,,
bloodworth,8,Cmte on bill promulgation of laws,,Dec,14,1796,4,10,,
brown,2,Cmte on bill promulgation of laws,,Dec,14,1796,4,10,,
cocke,1,Cmte on bill promulgation of laws,,Dec,14,1796,4,10,,
goodhue,3,Cmte on bill promulgation of laws,,Dec,14,1796,4,10,,
henry,3,Cmte on bill promulgation of laws,,Dec,14,1796,4,10,,
langdon,1,Cmte on bill promulgation of laws,,Dec,14,1796,4,10,,
latimer,2,Cmte on bill promulgation of laws,,Dec,14,1796,4,10,,
laurance,1,Cmte on bill promulgation of laws,,Dec,14,1796,4,10,,
paine,1,Cmte on bill promulgation of laws,,Dec,14,1796,4,10,,
read,6,Cmte on bill promulgation of laws,,Dec,14,1796,4,10,,
rutherfurd,16,Cmte on bill promulgation of laws,,Dec,14,1796,4,10,,
stockton,1,Cmte on bill promulgation of laws,,Dec,14,1796,4,10,,
tazewell,1,Cmte on bill promulgation of laws,,Dec,14,1796,4,10,,
tichenor,2,Cmte on bill promulgation of laws,,Dec,14,1796,4,10,,
tracy,12,Cmte on bill promulgation of laws,,Dec,14,1796,4,10,,
bingham,4,Cmte on augmentation of salaries of govt officers,,Dec,16,1796,4,10,,
brown,1,Cmte on augmentation of salaries of govt officers,,Dec,16,1796,4,10,,
goodhue,18,Cmte on augmentation of salaries of govt officers,,Dec,16,1796,4,10,,
henry,3,Cmte on augmentation of salaries of govt officers,,Dec,16,1796,4,10,,
hillhouse,5,Cmte on augmentation of salaries of govt officers,,Dec,16,1796,4,10,,
langdon,1,Cmte on augmentation of salaries of govt officers,,Dec,16,1796,4,10,,
laurance,12,Cmte on augmentation of salaries of govt officers,,Dec,16,1796,4,10,,
livermore,7,Cmte on augmentation of salaries of govt officers,,Dec,16,1796,4,10,,
martin,4,Cmte on augmentation of salaries of govt officers,,Dec,16,1796,4,10,,
paine,2,Cmte on augmentation of salaries of govt officers,,Dec,16,1796,4,10,,
read,3,Cmte on augmentation of salaries of govt officers,,Dec,16,1796,4,10,,
rutherfurd,2,Cmte on augmentation of salaries of govt officers,,Dec,16,1796,4,10,,
stockton,2,Cmte on augmentation of salaries of govt officers,,Dec,16,1796,4,10,,
tazewell,5,Cmte on augmentation of salaries of govt officers,,Dec,16,1796,4,10,,
tichenor,1,Cmte on augmentation of salaries of govt officers,,Dec,16,1796,4,10,,
tracy,1,Cmte on augmentation of salaries of govt officers,,Dec,16,1796,4,10,,
brown,3,Cmte on expiring laws,,Dec,16,1796,4,10,,
cocke,2,Cmte on expiring laws,,Dec,16,1796,4,10,,
foster,1,Cmte on expiring laws,,Dec,16,1796,4,10,,
goodhue,1,Cmte on expiring laws,,Dec,16,1796,4,10,,
henry,6,Cmte on expiring laws,,Dec,16,1796,4,10,,
hillhouse,2,Cmte on expiring laws,,Dec,16,1796,4,10,,
latimer,2,Cmte on expiring laws,,Dec,16,1796,4,10,,
livermore,4,Cmte on expiring laws,,Dec,16,1796,4,10,,
marshall,2,Cmte on expiring laws,,Dec,16,1796,4,10,,
martin,1,Cmte on expiring laws,,Dec,16,1796,4,10,,
paine,3,Cmte on expiring laws,,Dec,16,1796,4,10,,
read,1,Cmte on expiring laws,,Dec,16,1796,4,10,,
rutherfurd,2,Cmte on expiring laws,,Dec,16,1796,4,10,,
stockton,5,Cmte on expiring laws,,Dec,16,1796,4,10,,
tazewell,2,Cmte on expiring laws,,Dec,16,1796,4,10,,
tichenor,1,Cmte on expiring laws,,Dec,16,1796,4,10,,
tracy,16,Cmte on expiring laws,,Dec,16,1796,4,10,,
cocke,1,Cmte on enrolled bills,,Dec,19,1796,4,10,,
hillhouse,2,Cmte on enrolled bills,,Dec,19,1796,4,10,,
latimer,1,Cmte on enrolled bills,,Dec,19,1796,4,10,,
rutherfurd,2,Cmte on enrolled bills,,Dec,19,1796,4,10,,
stockton,8,Cmte on enrolled bills,,Dec,19,1796,4,10,,
tichenor,4,Cmte on enrolled bills,,Dec,19,1796,4,10,,
blount,1,Cmte on unfinished business - Dec 26,,Dec,26,1796,4,10,,
bradford,1,Cmte on unfinished business - Dec 26,,Dec,26,1796,4,10,,
brown,5,Cmte on unfinished business - Dec 26,,Dec,26,1796,4,10,,
foster,1,Cmte on unfinished business - Dec 26,,Dec,26,1796,4,10,,
goodhue,2,Cmte on unfinished business - Dec 26,,Dec,26,1796,4,10,,
henry,7,Cmte on unfinished business - Dec 26,,Dec,26,1796,4,10,,
hillhouse,1,Cmte on unfinished business - Dec 26,,Dec,26,1796,4,10,,
langdon,2,Cmte on unfinished business - Dec 26,,Dec,26,1796,4,10,,
marshall,2,Cmte on unfinished business - Dec 26,,Dec,26,1796,4,10,,
martin,4,Cmte on unfinished business - Dec 26,,Dec,26,1796,4,10,,
paine,3,Cmte on unfinished business - Dec 26,,Dec,26,1796,4,10,,
rutherfurd,5,Cmte on unfinished business - Dec 26,,Dec,26,1796,4,10,,
sedgwick,2,Cmte on unfinished business - Dec 26,,Dec,26,1796,4,10,,
tazewell,2,Cmte on unfinished business - Dec 26,,Dec,26,1796,4,10,,
tichenor,3,Cmte on unfinished business - Dec 26,,Dec,26,1796,4,10,,
tracy,12,Cmte on unfinished business - Dec 26,,Dec,26,1796,4,10,,
bloodworth,1,Cmte on bill TN,,Dec,26,1796,4,11,,
blount,15,Cmte on bill TN,,Dec,26,1796,4,11,,
bradford,1,Cmte on bill TN,,Dec,26,1796,4,11,,
brown,3,Cmte on bill TN,,Dec,26,1796,4,11,,
cocke,2,Cmte on bill TN,,Dec,26,1796,4,11,,
goodhue,1,Cmte on bill TN,,Dec,26,1796,4,11,,
henry,2,Cmte on bill TN,,Dec,26,1796,4,11,,
hillhouse,1,Cmte on bill TN,,Dec,26,1796,4,11,,
latimer,1,Cmte on bill TN,,Dec,26,1796,4,11,,
marshall,2,Cmte on bill TN,,Dec,26,1796,4,11,,
martin,1,Cmte on bill TN,,Dec,26,1796,4,11,,
paine,3,Cmte on bill TN,,Dec,26,1796,4,11,,
read,6,Cmte on bill TN,,Dec,26,1796,4,11,,
rutherfurd,3,Cmte on bill TN,,Dec,26,1796,4,11,,
sedgwick,4,Cmte on bill TN,,Dec,26,1796,4,11,,
tazewell,1,Cmte on bill TN,,Dec,26,1796,4,11,,
tracy,2,Cmte on bill TN,,Dec,26,1796,4,11,,
blount,1,Cmte on bill John Sears,,Dec,29,1796,4,11,,
bradford,1,Cmte on bill John Sears,,Dec,29,1796,4,11,,
brown,1,Cmte on bill John Sears,,Dec,29,1796,4,11,,
cocke,2,Cmte on bill John Sears,,Dec,29,1796,4,11,,
goodhue,2,Cmte on bill John Sears,,Dec,29,1796,4,11,,
gunn,1,Cmte on bill John Sears,,Dec,29,1796,4,11,,
henry,2,Cmte on bill John Sears,,Dec,29,1796,4,11,,
hillhouse,1,Cmte on bill John Sears,,Dec,29,1796,4,11,,
howard,2,Cmte on bill John Sears,,Dec,29,1796,4,11,,
