id,givenName,familyName,middleName,unaccentedGivenName,unaccentedFamilyName,unaccentedMiddleName,nickName,honorificPrefix,honorificSuffix,honorificTitle,birthYear,deathYear,congresses
A000006,Joseph,Abbott,Carter,Joseph,Abbott,Carter,,,,,1825,1881,"[{""position"":""Senator"",""congressNumber"":40,""stateName"":""NC"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":41,""stateName"":""NC"",""parties"":[""Republican""]}]"
A000009,James,Abdnor,,James,Abdnor,,,Mr.,,,1923,2012,"[{""position"":""Representative"",""congressNumber"":93,""stateName"":""SD"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":94,""stateName"":""SD"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":95,""stateName"":""SD"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":96,""stateName"":""SD"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":97,""stateName"":""SD"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":98,""stateName"":""SD"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":99,""stateName"":""SD"",""parties"":[""Republican""]}]"
A000010,Hazel,Abel,Hempel,Hazel,Abel,Hempel,,,,,1888,1966,"[{""position"":""Senator"",""congressNumber"":83,""stateName"":""NE"",""parties"":[""Republican""]}]"
A000017,James,Abourezk,George,James,Abourezk,George,,,,,1931,2023,"[{""position"":""Representative"",""congressNumber"":92,""stateName"":""SD"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":93,""stateName"":""SD"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":94,""stateName"":""SD"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":95,""stateName"":""SD"",""parties"":[""Democrat""]}]"
A000355,Spencer,Abraham,,Spencer,Abraham,,,,,,1952,,"[{""position"":""Senator"",""congressNumber"":104,""stateName"":""MI"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":105,""stateName"":""MI"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":106,""stateName"":""MI"",""parties"":[""Republican""]}]"
A000026,John,Adair,,John,Adair,,,,,,1757,1840,"[{""position"":""Senator"",""congressNumber"":9,""stateName"":""KY"",""parties"":[""Democratic Republican""]},{""position"":""Representative"",""congressNumber"":22,""stateName"":""KY"",""parties"":[""Jacksonian""]}]"
A000028,Alva,Adams,Blanchard,Alva,Adams,Blanchard,,,,,1875,1941,"[{""position"":""Senator"",""congressNumber"":68,""stateName"":""CO"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":73,""stateName"":""CO"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":74,""stateName"":""CO"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":75,""stateName"":""CO"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":76,""stateName"":""CO"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":77,""stateName"":""CO"",""parties"":[""Democrat""]}]"
A000031,Brockman,Adams,,Brockman,Adams,,Brock,,,,1927,2004,"[{""position"":""Representative"",""congressNumber"":89,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":90,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":94,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":93,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":95,""stateName"":""WA"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":91,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":92,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":100,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":101,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":102,""stateName"":""WA"",""parties"":[""Democrat""]}]"
A000041,John,Adams,Quincy,John,Adams,Quincy,,Mr.,,,1767,1848,"[{""position"":""Senator"",""congressNumber"":8,""stateName"":""MA"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":9,""stateName"":""MA"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":10,""stateName"":""MA"",""parties"":[""Federalist""]},{""position"":""Representative"",""congressNumber"":25,""stateName"":""MA"",""parties"":[""Whig""],""electionDate"":""1836-11-14"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":30,""stateName"":""MA"",""parties"":[""Whig""],""electionDate"":""1846-11-09"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":22,""stateName"":""MA"",""parties"":[""Anti-Jacksonian""],""electionDate"":""1830-11-01"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":23,""stateName"":""MA"",""parties"":[""Anti-Masonic""],""electionDate"":""1833-04-01"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":28,""stateName"":""MA"",""parties"":[""Whig""],""electionDate"":""1842-11-14"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":24,""stateName"":""MA"",""parties"":[""Anti-Masonic""],""electionDate"":""1834-11-10"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":26,""stateName"":""MA"",""parties"":[""Whig""],""electionDate"":""1838-11-12"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":27,""stateName"":""MA"",""parties"":[""Whig""],""electionDate"":""1840-11-09"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":29,""stateName"":""MA"",""parties"":[""Whig""],""electionDate"":""1844-11-11"",""electionCirca"":false}]"
A000043,Robert,Adams,Huntington,Robert,Adams,Huntington,,,,,1792,1830,"[{""position"":""Senator"",""congressNumber"":21,""stateName"":""MS"",""parties"":[""Jacksonian""]}]"
A000048,Stephen,Adams,,Stephen,Adams,,,Mr.,,,1807,1857,"[{""position"":""Representative"",""congressNumber"":29,""stateName"":""MS"",""parties"":[""Democrat""],""electionDate"":""1845-11-03"",""electionCirca"":true},{""position"":""Senator"",""congressNumber"":32,""stateName"":""MS"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":33,""stateName"":""MS"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":34,""stateName"":""MS"",""parties"":[""Democrat""]}]"
A000062,George,Aiken,David,George,Aiken,David,,,,,1892,1984,"[{""position"":""Senator"",""congressNumber"":77,""stateName"":""VT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":78,""stateName"":""VT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":79,""stateName"":""VT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":80,""stateName"":""VT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":81,""stateName"":""VT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":82,""stateName"":""VT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":83,""stateName"":""VT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":84,""stateName"":""VT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":85,""stateName"":""VT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":86,""stateName"":""VT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":87,""stateName"":""VT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":88,""stateName"":""VT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":89,""stateName"":""VT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":90,""stateName"":""VT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":91,""stateName"":""VT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":92,""stateName"":""VT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":93,""stateName"":""VT"",""parties"":[""Republican""]}]"
A000069,Daniel,Akaka,Kahikina,Daniel,Akaka,Kahikina,,,,,1924,2018,"[{""position"":""Representative"",""congressNumber"":95,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":100,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":101,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":103,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":108,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":110,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":105,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":106,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":109,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":111,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":96,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":97,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":107,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":112,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":98,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":99,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":102,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":104,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":101,""stateName"":""HI"",""parties"":[""Democrat""],""electionCirca"":false}]"
A000079,James,Alcorn,Lusk,James,Alcorn,Lusk,,,,,1816,1894,"[{""position"":""Senator"",""congressNumber"":42,""stateName"":""MS"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":43,""stateName"":""MS"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":44,""stateName"":""MS"",""parties"":[""Republican""]}]"
