id,givenName,familyName,unaccentedFamilyName,birthYear,deathYear,congresses,congressNumber,position,state,parties,congressYear,age,fullName
A000026,John,Adair,adair,1757.0,1840.0,"[{""position"":""Senator"",""congressNumber"":9,""stateName"":""KY"",""parties"":[""Democratic Republican""]},{""position"":""Representative"",""congressNumber"":22,""stateName"":""KY"",""parties"":[""Jacksonian""]}]",9,Senator,KY,Democratic Republican,1805,48.0,John adair
A000041,John,Adams,adams,1767.0,1848.0,"[{""position"":""Senator"",""congressNumber"":8,""stateName"":""MA"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":9,""stateName"":""MA"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":10,""stateName"":""MA"",""parties"":[""Federalist""]},{""position"":""Representative"",""congressNumber"":25,""stateName"":""MA"",""parties"":[""Whig""],""electionDate"":""1836-11-14"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":30,""stateName"":""MA"",""parties"":[""Whig""],""electionDate"":""1846-11-09"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":22,""stateName"":""MA"",""parties"":[""Anti-Jacksonian""],""electionDate"":""1830-11-01"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":23,""stateName"":""MA"",""parties"":[""Anti-Masonic""],""electionDate"":""1833-04-01"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":28,""stateName"":""MA"",""parties"":[""Whig""],""electionDate"":""1842-11-14"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":24,""stateName"":""MA"",""parties"":[""Anti-Masonic""],""electionDate"":""1834-11-10"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":26,""stateName"":""MA"",""parties"":[""Whig""],""electionDate"":""1838-11-12"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":27,""stateName"":""MA"",""parties"":[""Whig""],""electionDate"":""1840-11-09"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":29,""stateName"":""MA"",""parties"":[""Whig""],""electionDate"":""1844-11-11"",""electionCirca"":false}]",8,Senator,MA,Federalist,1803,36.0,John adams
A000041,John,Adams,adams,1767.0,1848.0,"[{""position"":""Senator"",""congressNumber"":8,""stateName"":""MA"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":9,""stateName"":""MA"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":10,""stateName"":""MA"",""parties"":[""Federalist""]},{""position"":""Representative"",""congressNumber"":25,""stateName"":""MA"",""parties"":[""Whig""],""electionDate"":""1836-11-14"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":30,""stateName"":""MA"",""parties"":[""Whig""],""electionDate"":""1846-11-09"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":22,""stateName"":""MA"",""parties"":[""Anti-Jacksonian""],""electionDate"":""1830-11-01"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":23,""stateName"":""MA"",""parties"":[""Anti-Masonic""],""electionDate"":""1833-04-01"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":28,""stateName"":""MA"",""parties"":[""Whig""],""electionDate"":""1842-11-14"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":24,""stateName"":""MA"",""parties"":[""Anti-Masonic""],""electionDate"":""1834-11-10"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":26,""stateName"":""MA"",""parties"":[""Whig""],""electionDate"":""1838-11-12"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":27,""stateName"":""MA"",""parties"":[""Whig""],""electionDate"":""1840-11-09"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":29,""stateName"":""MA"",""parties"":[""Whig""],""electionDate"":""1844-11-11"",""electionCirca"":false}]",9,Senator,MA,Federalist,1805,38.0,John adams
A000041,John,Adams,adams,1767.0,1848.0,"[{""position"":""Senator"",""congressNumber"":8,""stateName"":""MA"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":9,""stateName"":""MA"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":10,""stateName"":""MA"",""parties"":[""Federalist""]},{""position"":""Representative"",""congressNumber"":25,""stateName"":""MA"",""parties"":[""Whig""],""electionDate"":""1836-11-14"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":30,""stateName"":""MA"",""parties"":[""Whig""],""electionDate"":""1846-11-09"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":22,""stateName"":""MA"",""parties"":[""Anti-Jacksonian""],""electionDate"":""1830-11-01"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":23,""stateName"":""MA"",""parties"":[""Anti-Masonic""],""electionDate"":""1833-04-01"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":28,""stateName"":""MA"",""parties"":[""Whig""],""electionDate"":""1842-11-14"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":24,""stateName"":""MA"",""parties"":[""Anti-Masonic""],""electionDate"":""1834-11-10"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":26,""stateName"":""MA"",""parties"":[""Whig""],""electionDate"":""1838-11-12"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":27,""stateName"":""MA"",""parties"":[""Whig""],""electionDate"":""1840-11-09"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":29,""stateName"":""MA"",""parties"":[""Whig""],""electionDate"":""1844-11-11"",""electionCirca"":false}]",10,Senator,MA,Federalist,1807,40.0,John adams
A000197,Joseph,Anderson,anderson,1757.0,1837.0,"[{""position"":""Senator"",""congressNumber"":5,""stateName"":""TN"",""parties"":[""Democratic Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":6,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":7,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":8,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":9,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":10,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":11,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":12,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":13,""stateName"":""TN"",""parties"":[""Democratic Republican""]}]",5,Senator,TN,Democratic Republican,1797,40.0,Joseph anderson
A000197,Joseph,Anderson,anderson,1757.0,1837.0,"[{""position"":""Senator"",""congressNumber"":5,""stateName"":""TN"",""parties"":[""Democratic Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":6,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":7,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":8,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":9,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":10,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":11,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":12,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":13,""stateName"":""TN"",""parties"":[""Democratic Republican""]}]",6,Senator,TN,Democratic Republican,1799,42.0,Joseph anderson
A000197,Joseph,Anderson,anderson,1757.0,1837.0,"[{""position"":""Senator"",""congressNumber"":5,""stateName"":""TN"",""parties"":[""Democratic Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":6,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":7,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":8,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":9,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":10,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":11,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":12,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":13,""stateName"":""TN"",""parties"":[""Democratic Republican""]}]",7,Senator,TN,Democratic Republican,1801,44.0,Joseph anderson
A000197,Joseph,Anderson,anderson,1757.0,1837.0,"[{""position"":""Senator"",""congressNumber"":5,""stateName"":""TN"",""parties"":[""Democratic Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":6,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":7,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":8,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":9,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":10,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":11,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":12,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":13,""stateName"":""TN"",""parties"":[""Democratic Republican""]}]",8,Senator,TN,Democratic Republican,1803,46.0,Joseph anderson
A000197,Joseph,Anderson,anderson,1757.0,1837.0,"[{""position"":""Senator"",""congressNumber"":5,""stateName"":""TN"",""parties"":[""Democratic Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":6,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":7,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":8,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":9,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":10,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":11,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":12,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":13,""stateName"":""TN"",""parties"":[""Democratic Republican""]}]",9,Senator,TN,Democratic Republican,1805,48.0,Joseph anderson
A000197,Joseph,Anderson,anderson,1757.0,1837.0,"[{""position"":""Senator"",""congressNumber"":5,""stateName"":""TN"",""parties"":[""Democratic Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":6,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":7,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":8,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":9,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":10,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":11,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":12,""stateName"":""TN"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":13,""stateName"":""TN"",""parties"":[""Democratic Republican""]}]",10,Senator,TN,Democratic Republican,1807,50.0,Joseph anderson
