committee_id,committee_name,date,congress,page,committee_type
1,Cmte on Mediterranean Commerce,1790-12-15,1,5,Foreign Affairs
2,Cmte on Consuls,1790-12-16,1,3,Foreign Affairs
3,Cmte on 14th Dec Supplementary bill to Collection law,1790-12-16,1,5,Commerce
4,Cmte on national bank,1790-12-23,1,5,Finance
5,Additional cmte members on HR bill consent laws of MD GA RI,1790-12-28,1,5,Misc
6,cmte to consider the report of Sec of State on weights and measures,1790-12-28,1,5,Commerce
7,Cmte on the message from the PUS on leases of the OH lands,1790-12-31,1,5,Public Lands
8,Cmte on Shuball Swaine's bill,1791-01-05,1,5,Claims
9,Consular bill,1791-01-12,1,5,Foreign Affairs
10,Cmte on President's message on complaint of French against tonnage,1791-01-19,1,5,Foreign Affairs
11,Cmte on GW's message complaint of French against tonnage duties,1791-01-19,1,Extra,Foreign Affairs
12,Jt cmte to determine the meeting of the next congress,1791-01-21,1,4,Administrative
13,Cmte on resolution moved by Gunn extracts from Executive Journal,1791-01-21,1,5,Administrative
14,Cmte on VA papers,1791-01-31,1,4,Military
15,cmte on Excise bill,1791-02-02,1,4,Commerce
16,Cmte on appropriation bill,1791-02-03,1,4,Finance
17,Cmte on report of Secretary of Treasury relative to mint,1791-02-07,1,4,Finance
18,cmte on VT papers,1791-02-09,1,4,Judiciary
19,cmte on foreign officers,1791-02-12,1,3,Foreign Affairs
20,cmte on the military,1791-02-14,1,3,Military
21,Cmte on Donald Campbell petition,1791-02-15,1,3,Claims
22,cmte on the Land Office,1791-02-21,1,3,Public Lands
23,Cmte of Conference on bill on duties on imported spirits,1791-02-23,1,3,Finance
24,Cmte on Butler and Monroe's motion for addition compensation for AG,1791-02-24,1,4,Judiciary
25,cmte on the bill payment of certain debts,1791-02-28,1,4,Finance
26,cmte to Revise Laws,1791-03-01,1,3,Administrative
27,Cmte on Coins,1791-03-01,1,4,Finance
28,Cmte on bill for Loan Office,1791-03-02,1,3,Finance
29,Widows and Orphans,1791-03-02,1,3,Claims
30,Gen teas and wines duties Bill,1791-03-02,1,4,Commerce
31,cmte on Invalid bill,n.d.,1,3,Claims
32,cmte Elections,1791-11-01,2,8,Administrative
33,Cmte of Senate Consuls,1791-11-01,2,8,Foreign Affairs
34,Cmte on coins,1791-11-01,2,8,Finance
35,cmte on land office,1791-11-01,2,8,Public Lands
36,Officers of Judicial courts,1791-11-01,2,8,Judiciary
37,cmte on Rules,1791-11-01,2,9,Administrative
38,Cmte on Joseph Pannill bill to settle accounts,1791-11-09,2,6,Claims
39,Cmte on Joseph Pannill examine facts,1791-11-15,2,6,Claims
40,cmte on Consuls & Vice Consuls,1791-11-16,2,6,Foreign Affairs
41,Additional cmte bill electors,1791-11-23,2,8,Judiciary
42,Cmte to revise the apportionment in OH bill,1791-11-30,2,6,Judiciary
43,Cmte on invalids bill,1791-12-05,2,5,Claims
44,Cmte on appropriations,1791-12-09,2,5,Finance
45,Cmte invalids bill,1791-12-14,2,6,Claims
46,Cmte added to the cmte IL land Co,1791-12-15,2,5,Public Lands
47,Cmte on memorial of Illinois and Ouabache Land Cos,1791-12-15,2,5,Public Lands
48,cmte on Fisheries,1791-12-22,2,6,Commerce
49,Cmte on nominations of consuls,1791-12-30,2,5,Foreign Affairs
50,Cmte on Bill settling public accts,1792-01-05,2,5,Finance
51,Cmte on widows & orphans bill,1792-01-10,2,5,Claims
52,Cmte on speech of Seneca chief,1792-01-18,2,5,Indian Affairs
53,Cmte on Half-pay & to invalids bill,1792-01-30,2,5,Claims
54,Cmte on bill for military establishment and protection of frontiers,1792-02-09,2,4,Military
55,Cmte on bill for military establishment and protection of frontiers with amendments,1792-02-17,2,4,Military
56,Jt cmte on Recess and necessary business; Feb 20,1792-02-20,2,4,Administrative
57,Cmte on James Mathers's petition,1792-02-21,2,4,Administrative
58,Cmte on bill to extend claims,1792-02-27,2,4,Claims
59,Cmte of Conference on frontier protection bill,1792-02-28,2,4,Military
60,Cmte on Moses Young's petition,1792-02-28,2,4,Claims
61,Cmte on lighthouse,1792-03-01,2,4,Commerce
62,Cmte of Conference bill ascertain and regulate the claims to half-pay,1792-03-05,2,9,Claims
63,Cmte on confer President on Americans imprisoned by Algiers,1792-03-07,2,3,Foreign Affairs
64,Cmte on PUS's message relative to Spain,1792-03-07,2,4,Foreign Affairs
65,Cmte on Journals publication,1792-03-08,2,3,Administrative
66,Cmte on Ellsworth's motion necessary business,1792-03-16,2,3,Administrative
67,Cmte of conference apportionment,1792-03-19,2,3,Judiciary
68,Cmte on bill for judicial courts,1792-03-20,2,3,Judiciary
69,Cmte on message of PUS need for more army officers,1792-03-20,2,3,Military
70,Cmte Bald Head Lighthouse bill,1792-03-27,2,3,Commerce
71,cmte on the purchase of JC Symmes,1792-03-27,2,3,Claims
72,cmte Bill George Gibson,1792-03-28,2,3,Commerce
73,Cmte on expediency of fugitive slaves law,1792-03-30,2,4,Judiciary
74,Cmte on Beacons and buoys bill,1792-04-02,2,6,Commerce
75,Cmte on Treasury & War Dept bill,1792-04-03,2,6,Misc
76,Cmte on OH Bill,1792-04-09,2,6,Public Lands
77,cmte on the Wilmington School,1792-04-10,2,6,\
78,Cmte on duties on teas bill,1792-04-10,2,7,Commerce
79,Cmte on General Greene,1792-04-12,2,7,Claims
80,cmte on enrolled bills to replace Ruthurfurd,1792-04-19,2,7,Administrative
81,Cmte on Mr Mannings petition,1792-04-19,2,7,Claims
82,Cmte of conference on national defense,1792-04-23,2,7,Military
83,Cmte on regulating judicial processes amendments,1792-04-28,2,7,Judiciary
84,Cmte on John C Symmes,1792-04-30,2,7,Public Lands
85,Cmte on Remission of certain duties bill,1792-05-01,2,7,Commerce
86,cmte on Excise,1792-05-02,2,7,Finance
87,Cmte to wait on president for recess,1792-05-02,2,7,Ceremonial
88,cmte of Conference on processes bill,1792-05-03,2,7,Judiciary
89,Cmte on Allowance to collectors bill,1792-05-03,2,7,Commerce
90,Cmte on enrolled bills to replace Bradley,1792-05-03,2,7,Administrative
91,Cmte on King's Bill to continue appropriations for pensions and lighthouses,1792-05-03,2,8,Finance
92,Cmte appropriation,1792-05-08,2,8,Finance
93,Cmte on Indian Treaties,1792-11-02,2,8,Indian Affairs
94,Cmte reply to president's speech,1792-11-06,2,8,Ceremonial
95,Cmte on Anthony Walton White bill,1792-11-09,2,9,Claims
96,Cmte on foreign coins bill,1792-11-12,2,9,Finance
97,cmte to take into consideration the Judiciary System and report thereon,1792-11-21,2,9,Judiciary
98,Cmte on fugitives from justice,1792-11-22,2,9,Judiciary
99,Cmte on James Mathers petition,1792-11-28,2,9,Administrative
100,cmte on bill for settling accts,1792-12-10,2,10,Finance
101,cmte on weights and measures,1792-12-18,2,9,Commerce
102,Cmte on fugitive from justice bill to replace members,1792-12-28,2,9,Judiciary
103,Cmte on Registering bill on ships in coasting trade,1792-12-31,2,10,Commerce
104,Cmte on bill pay interest on sums due to Hay and others by resolve of Congress Sep-28 1785,1793-01-03,2,10,Finance
105,Cmte on mint bill,1793-01-03,2,10,Finance
106,Cmte on bill widows & orphans,1793-01-09,2,10,Claims
107,Cmte on appropriations,1793-01-10,2,10,Finance
108,Cmte on Invalids etc bill,1793-01-11,2,10,Claims
109,Cmte on bill respecting claims,1793-01-17,2,10,Claims
110,Cmte on Bill for Lewis Garanger to settle accounts,1793-01-21,2,10,Claims
111,Cmte on HR bill to determine boundary of NC cession,1793-01-21,2,10,Public Lands
112,Cmte on Indian Trade bill,1793-01-21,2,11,Indian Affairs
113,Cmte on VA officer bill,1793-02-01,2,11,Claims
114,Cmte of conference bill invalid pensions,1793-02-05,2,11,Claims
115,Joint Cmte on examining votes for PUS and VP,1793-02-06,2,11,Ceremonial
116,Cmte on bills H E Lutterloh,1793-02-07,2,9,Claims
117,Cmte to bring bill on collection law,1793-02-07,2,11,Commerce
118,Cmte useful arts,1793-02-07,2,11,Commerce
119,Cmte on HR bill respecting inhabitants of Port St Vincent,1793-02-08,2,11,Misc
120,Cmte to notify PUS of re-election,1793-02-14,2,11,Ceremonial
121,Cmte on Putnam Treaty with Indians,1793-02-15,2,Extra,Indian Affairs
122,Cmte on Jacob Bell's bill,1793-02-18,2,11,Claims
123,Cmte on motion for educations of sons of late Gen Mercer,1793-02-18,2,11,Claims
124,Cmte on bill to establish post road to KY,1793-02-26,2,12,Post Office
125,Cmte on bill to supplement collection of duties goods etc,1793-02-27,2,12,Commerce
126,cmte on Galliopolis,1793-02-27,2,12,Public Lands
127,Cmte on petition of paymasters,1793-02-27,2,12,Claims
128,Cmte of Conference on next mtg of Congress,1793-02-28,2,12,Administrative
129,Cmte of conference on next mtg of Congress Rutherfurd replace Langdon,1793-03-01,2,12,Administrative
130,Cmte on bill for John Banks,1793-03-01,2,12,Claims
131,Jt cmte to wait on PUS,1793-03-02,2,12,Ceremonial
132,cmte to answer message,1793-12-03,3,14,Ceremonial
133,Cmte on petition respecting the election of Gallatin,1793-12-11,3,14,Administrative
