first_name,middle_name,last_name,age,congress,state,party,votes,committee_name,date,senator_id,senator_congress_id,committee_id
Richard,,Bassett,44,1,DE,Anti-Administration,1,Cmte on Mediterranean Commerce,1790-12-15,B000226,1,1
Pierce,,Butler,45,1,SC,Pro-Administration,6,Cmte on Mediterranean Commerce,1790-12-15,B001186,2,1
Tristram,,Dalton,51,1,MA,Pro-Administration,3,Cmte on Mediterranean Commerce,1790-12-15,D000013,3,1
Oliver,,Ellsworth,44,1,CT,Pro-Administration,9,Cmte on Mediterranean Commerce,1790-12-15,E000147,4,1
Benjamin,,Hawkins,35,1,NC,Pro-Administration,4,Cmte on Mediterranean Commerce,1790-12-15,H000368,5,1
William,Samuel,Johnson,62,1,CT,Pro-Administration,2,Cmte on Mediterranean Commerce,1790-12-15,J000182,6,1
Samuel,,Johnston,56,1,NC,Pro-Administration,2,Cmte on Mediterranean Commerce,1790-12-15,J000198,7,1
Ralph,,Izard,48,1,SC,Pro-Administration,7,Cmte on Mediterranean Commerce,1790-12-15,I000053,8,1
Rufus,,King,34,1,NY,Pro-Administration,10,Cmte on Mediterranean Commerce,1790-12-15,K000212,9,1
John,,Langdon,48,1,NH,Pro-Administration,15,Cmte on Mediterranean Commerce,1790-12-15,L000067,10,1
James,,Monroe,31,1,VA,Anti-Administration,2,Cmte on Mediterranean Commerce,1790-12-15,M000858,11,1
Robert,,Morris,55,1,PA,Pro-Administration,14,Cmte on Mediterranean Commerce,1790-12-15,M000985,12,1
George,,Read,56,1,DE,Pro-Administration,3,Cmte on Mediterranean Commerce,1790-12-15,R000091,13,1
Philip,John,Schuyler,56,1,NY,Pro-Administration,1,Cmte on Mediterranean Commerce,1790-12-15,S000154,14,1
Joseph,,Stanton,50,1,RI,Anti-Administration,1,Cmte on Mediterranean Commerce,1790-12-15,S000805,15,1
Caleb,,Strong,44,1,MA,Pro-Administration,10,Cmte on Mediterranean Commerce,1790-12-15,S001009,16,1
Richard,,Bassett,44,1,DE,Anti-Administration,1,Cmte on Consuls,1790-12-16,B000226,1,2
Pierce,,Butler,45,1,SC,Pro-Administration,2,Cmte on Consuls,1790-12-16,B001186,2,2
Tristram,,Dalton,51,1,MA,Pro-Administration,1,Cmte on Consuls,1790-12-16,D000013,3,2
Philemon,,Dickinson,50,1,NJ,Pro-Administration,1,Cmte on Consuls,1790-12-16,D000324,17,2
Oliver,,Ellsworth,44,1,CT,Pro-Administration,12,Cmte on Consuls,1790-12-16,E000147,4,2
Benjamin,,Hawkins,35,1,NC,Pro-Administration,5,Cmte on Consuls,1790-12-16,H000368,5,2
William,Samuel,Johnson,62,1,CT,Pro-Administration,3,Cmte on Consuls,1790-12-16,J000182,6,2
Samuel,,Johnston,56,1,NC,Pro-Administration,1,Cmte on Consuls,1790-12-16,J000198,7,2
Rufus,,King,34,1,NY,Pro-Administration,1,Cmte on Consuls,1790-12-16,K000212,9,2
John,,Langdon,48,1,NH,Pro-Administration,2,Cmte on Consuls,1790-12-16,L000067,10,2
James,,Monroe,31,1,VA,Anti-Administration,1,Cmte on Consuls,1790-12-16,M000858,11,2
Robert,,Morris,55,1,PA,Pro-Administration,3,Cmte on Consuls,1790-12-16,M000985,12,2
George,,Read,56,1,DE,Pro-Administration,3,Cmte on Consuls,1790-12-16,R000091,13,2
Philip,John,Schuyler,56,1,NY,Pro-Administration,4,Cmte on Consuls,1790-12-16,S000154,14,2
Caleb,,Strong,44,1,MA,Pro-Administration,4,Cmte on Consuls,1790-12-16,S001009,16,2
Paine,,Wingate,50,1,NH,Anti-Administration,1,Cmte on Consuls,1790-12-16,W000633,18,2
Richard,,Bassett,44,1,DE,Anti-Administration,2,Cmte on 14th Dec Supplementary bill to Collection law,1790-12-16,B000226,1,3
Tristram,,Dalton,51,1,MA,Pro-Administration,1,Cmte on 14th Dec Supplementary bill to Collection law,1790-12-16,D000013,3,3
Oliver,,Ellsworth,44,1,CT,Pro-Administration,6,Cmte on 14th Dec Supplementary bill to Collection law,1790-12-16,E000147,4,3
William,,Few,41,1,GA,Anti-Administration,4,Cmte on 14th Dec Supplementary bill to Collection law,1790-12-16,F000100,19,3
Benjamin,,Hawkins,35,1,NC,Pro-Administration,7,Cmte on 14th Dec Supplementary bill to Collection law,1790-12-16,H000368,5,3
William,Samuel,Johnson,62,1,CT,Pro-Administration,3,Cmte on 14th Dec Supplementary bill to Collection law,1790-12-16,J000182,6,3
Samuel,,Johnston,56,1,NC,Pro-Administration,1,Cmte on 14th Dec Supplementary bill to Collection law,1790-12-16,J000198,7,3
Rufus,,King,34,1,NY,Pro-Administration,2,Cmte on 14th Dec Supplementary bill to Collection law,1790-12-16,K000212,9,3
James,,Monroe,31,1,VA,Anti-Administration,1,Cmte on 14th Dec Supplementary bill to Collection law,1790-12-16,M000858,11,3
Robert,,Morris,55,1,PA,Pro-Administration,1,Cmte on 14th Dec Supplementary bill to Collection law,1790-12-16,M000985,12,3
George,,Read,56,1,DE,Pro-Administration,3,Cmte on 14th Dec Supplementary bill to Collection law,1790-12-16,R000091,13,3
Philip,John,Schuyler,56,1,NY,Pro-Administration,12,Cmte on 14th Dec Supplementary bill to Collection law,1790-12-16,S000154,14,3
Caleb,,Strong,44,1,MA,Pro-Administration,2,Cmte on 14th Dec Supplementary bill to Collection law,1790-12-16,S001009,16,3
Paine,,Wingate,50,1,NH,Anti-Administration,1,Cmte on 14th Dec Supplementary bill to Collection law,1790-12-16,W000633,18,3
Richard,,Bassett,44,1,DE,Anti-Administration,2,Cmte on national bank,1790-12-23,B000226,1,4
Pierce,,Butler,45,1,SC,Pro-Administration,9,Cmte on national bank,1790-12-23,B001186,2,4
Tristram,,Dalton,51,1,MA,Pro-Administration,1,Cmte on national bank,1790-12-23,D000013,3,4
Oliver,,Ellsworth,44,1,CT,Pro-Administration,9,Cmte on national bank,1790-12-23,E000147,4,4
William,,Few,41,1,GA,Anti-Administration,1,Cmte on national bank,1790-12-23,F000100,19,4
Benjamin,,Hawkins,35,1,NC,Pro-Administration,3,Cmte on national bank,1790-12-23,H000368,5,4
William,Samuel,Johnson,62,1,CT,Pro-Administration,2,Cmte on national bank,1790-12-23,J000182,6,4
Samuel,,Johnston,56,1,NC,Pro-Administration,4,Cmte on national bank,1790-12-23,J000198,7,4
Ralph,,Izard,48,1,SC,Pro-Administration,3,Cmte on national bank,1790-12-23,I000053,8,4
Rufus,,King,34,1,NY,Pro-Administration,8,Cmte on national bank,1790-12-23,K000212,9,4
John,,Langdon,48,1,NH,Pro-Administration,2,Cmte on national bank,1790-12-23,L000067,10,4
James,,Monroe,31,1,VA,Anti-Administration,3,Cmte on national bank,1790-12-23,M000858,11,4
Robert,,Morris,55,1,PA,Pro-Administration,17,Cmte on national bank,1790-12-23,M000985,12,4
George,,Read,56,1,DE,Pro-Administration,4,Cmte on national bank,1790-12-23,R000091,13,4
Philip,John,Schuyler,56,1,NY,Pro-Administration,13,Cmte on national bank,1790-12-23,S000154,14,4
Caleb,,Strong,44,1,MA,Pro-Administration,18,Cmte on national bank,1790-12-23,S001009,16,4
Paine,,Wingate,50,1,NH,Anti-Administration,1,Cmte on national bank,1790-12-23,W000633,18,4
Tristram,,Dalton,51,1,MA,Pro-Administration,1,Additional cmte members on HR bill consent laws of MD GA RI,1790-12-28,D000013,3,5
William,,Few,41,1,GA,Anti-Administration,4,Additional cmte members on HR bill consent laws of MD GA RI,1790-12-28,F000100,19,5
Theodore,,Foster,37,1,RI,Pro-Administration,3,Additional cmte members on HR bill consent laws of MD GA RI,1790-12-28,F000313,20,5
Ralph,,Izard,48,1,SC,Pro-Administration,5,Additional cmte members on HR bill consent laws of MD GA RI,1790-12-28,I000053,8,5
William,,Maclay,52,1,PA,Anti-Administration,2,Additional cmte members on HR bill consent laws of MD GA RI,1790-12-28,M000031,21,5
James,,Monroe,31,1,VA,Anti-Administration,1,Additional cmte members on HR bill consent laws of MD GA RI,1790-12-28,M000858,11,5
Robert,,Morris,55,1,PA,Pro-Administration,11,Additional cmte members on HR bill consent laws of MD GA RI,1790-12-28,M000985,12,5
Philip,John,Schuyler,56,1,NY,Pro-Administration,7,Additional cmte members on HR bill consent laws of MD GA RI,1790-12-28,S000154,14,5
Caleb,,Strong,44,1,MA,Pro-Administration,3,Additional cmte members on HR bill consent laws of MD GA RI,1790-12-28,S001009,16,5
Paine,,Wingate,50,1,NH,Anti-Administration,1,Additional cmte members on HR bill consent laws of MD GA RI,1790-12-28,W000633,18,5
Richard,,Bassett,44,1,DE,Anti-Administration,2,cmte to consider the report of Sec of State on weights and measures,1790-12-28,B000226,1,6
Pierce,,Butler,45,1,SC,Pro-Administration,1,cmte to consider the report of Sec of State on weights and measures,1790-12-28,B001186,2,6
Tristram,,Dalton,51,1,MA,Pro-Administration,3,cmte to consider the report of Sec of State on weights and measures,1790-12-28,D000013,3,6
Philemon,,Dickinson,50,1,NJ,Pro-Administration,1,cmte to consider the report of Sec of State on weights and measures,1790-12-28,D000324,17,6
Oliver,,Ellsworth,44,1,CT,Pro-Administration,5,cmte to consider the report of Sec of State on weights and measures,1790-12-28,E000147,4,6
Jonathan,,Elmer,44,1,NJ,Pro-Administration,1,cmte to consider the report of Sec of State on weights and measures,1790-12-28,E000155,22,6
William,,Few,41,1,GA,Anti-Administration,5,cmte to consider the report of Sec of State on weights and measures,1790-12-28,F000100,19,6
Theodore,,Foster,37,1,RI,Pro-Administration,1,cmte to consider the report of Sec of State on weights and measures,1790-12-28,F000313,20,6
Benjamin,,Hawkins,35,1,NC,Pro-Administration,4,cmte to consider the report of Sec of State on weights and measures,1790-12-28,H000368,5,6
William,Samuel,Johnson,62,1,CT,Pro-Administration,1,cmte to consider the report of Sec of State on weights and measures,1790-12-28,J000182,6,6
Ralph,,Izard,48,1,SC,Pro-Administration,13,cmte to consider the report of Sec of State on weights and measures,1790-12-28,I000053,8,6
John,,Langdon,48,1,NH,Pro-Administration,6,cmte to consider the report of Sec of State on weights and measures,1790-12-28,L000067,10,6
William,,Maclay,52,1,PA,Anti-Administration,2,cmte to consider the report of Sec of State on weights and measures,1790-12-28,M000031,21,6
James,,Monroe,31,1,VA,Anti-Administration,7,cmte to consider the report of Sec of State on weights and measures,1790-12-28,M000858,11,6
Robert,,Morris,55,1,PA,Pro-Administration,7,cmte to consider the report of Sec of State on weights and measures,1790-12-28,M000985,12,6
George,,Read,56,1,DE,Pro-Administration,1,cmte to consider the report of Sec of State on weights and measures,1790-12-28,R000091,13,6
Philip,John,Schuyler,56,1,NY,Pro-Administration,6,cmte to consider the report of Sec of State on weights and measures,1790-12-28,S000154,14,6
Caleb,,Strong,44,1,MA,Pro-Administration,3,cmte to consider the report of Sec of State on weights and measures,1790-12-28,S001009,16,6
Paine,,Wingate,50,1,NH,Anti-Administration,1,cmte to consider the report of Sec of State on weights and measures,1790-12-28,W000633,18,6
Richard,,Bassett,44,1,DE,Anti-Administration,3,Cmte on the message from the PUS on leases of the OH lands,1790-12-31,B000226,1,7
Tristram,,Dalton,51,1,MA,Pro-Administration,1,Cmte on the message from the PUS on leases of the OH lands,1790-12-31,D000013,3,7
Philemon,,Dickinson,50,1,NJ,Pro-Administration,1,Cmte on the message from the PUS on leases of the OH lands,1790-12-31,D000324,17,7
Oliver,,Ellsworth,44,1,CT,Pro-Administration,6,Cmte on the message from the PUS on leases of the OH lands,1790-12-31,E000147,4,7
William,,Few,41,1,GA,Anti-Administration,3,Cmte on the message from the PUS on leases of the OH lands,1790-12-31,F000100,19,7
Benjamin,,Hawkins,35,1,NC,Pro-Administration,4,Cmte on the message from the PUS on leases of the OH lands,1790-12-31,H000368,5,7
Samuel,,Johnston,56,1,NC,Pro-Administration,2,Cmte on the message from the PUS on leases of the OH lands,1790-12-31,J000198,7,7
William,,Maclay,52,1,PA,Anti-Administration,5,Cmte on the message from the PUS on leases of the OH lands,1790-12-31,M000031,21,7
George,,Read,56,1,DE,Pro-Administration,1,Cmte on the message from the PUS on leases of the OH lands,1790-12-31,R000091,13,7
Philip,John,Schuyler,56,1,NY,Pro-Administration,1,Cmte on the message from the PUS on leases of the OH lands,1790-12-31,S000154,14,7
Caleb,,Strong,44,1,MA,Pro-Administration,12,Cmte on the message from the PUS on leases of the OH lands,1790-12-31,S001009,16,7
Paine,,Wingate,50,1,NH,Anti-Administration,3,Cmte on the message from the PUS on leases of the OH lands,1790-12-31,W000633,18,7
Richard,,Bassett,44,1,DE,Anti-Administration,2,Cmte on Shuball Swaine's bill,1791-01-05,B000226,1,8
Philemon,,Dickinson,50,1,NJ,Pro-Administration,2,Cmte on Shuball Swaine's bill,1791-01-05,D000324,17,8
Oliver,,Ellsworth,44,1,CT,Pro-Administration,1,Cmte on Shuball Swaine's bill,1791-01-05,E000147,4,8
William,,Few,41,1,GA,Anti-Administration,2,Cmte on Shuball Swaine's bill,1791-01-05,F000100,19,8
Theodore,,Foster,37,1,RI,Pro-Administration,2,Cmte on Shuball Swaine's bill,1791-01-05,F000313,20,8
Benjamin,,Hawkins,35,1,NC,Pro-Administration,4,Cmte on Shuball Swaine's bill,1791-01-05,H000368,5,8
Samuel,,Johnston,56,1,NC,Pro-Administration,1,Cmte on Shuball Swaine's bill,1791-01-05,J000198,7,8
Ralph,,Izard,48,1,SC,Pro-Administration,4,Cmte on Shuball Swaine's bill,1791-01-05,I000053,8,8
Rufus,,King,34,1,NY,Pro-Administration,3,Cmte on Shuball Swaine's bill,1791-01-05,K000212,9,8
John,,Langdon,48,1,NH,Pro-Administration,5,Cmte on Shuball Swaine's bill,1791-01-05,L000067,10,8
William,,Maclay,52,1,PA,Anti-Administration,3,Cmte on Shuball Swaine's bill,1791-01-05,M000031,21,8
James,,Monroe,31,1,VA,Anti-Administration,2,Cmte on Shuball Swaine's bill,1791-01-05,M000858,11,8
Robert,,Morris,55,1,PA,Pro-Administration,15,Cmte on Shuball Swaine's bill,1791-01-05,M000985,12,8
George,,Read,56,1,DE,Pro-Administration,2,Cmte on Shuball Swaine's bill,1791-01-05,R000091,13,8
Caleb,,Strong,44,1,MA,Pro-Administration,3,Cmte on Shuball Swaine's bill,1791-01-05,S001009,16,8
Pierce,,Butler,45,1,SC,Pro-Administration,5,Consular bill,1791-01-12,B001186,2,9
Oliver,,Ellsworth,44,1,CT,Pro-Administration,13,Consular bill,1791-01-12,E000147,4,9
Theodore,,Foster,37,1,RI,Pro-Administration,1,Consular bill,1791-01-12,F000313,20,9
Benjamin,,Hawkins,35,1,NC,Pro-Administration,12,Consular bill,1791-01-12,H000368,5,9
John,,Henry,39,1,MD,Pro-Administration,3,Consular bill,1791-01-12,H000508,23,9
William,Samuel,Johnson,62,1,CT,Pro-Administration,1,Consular bill,1791-01-12,J000182,6,9
Samuel,,Johnston,56,1,NC,Pro-Administration,1,Consular bill,1791-01-12,J000198,7,9
Rufus,,King,34,1,NY,Pro-Administration,9,Consular bill,1791-01-12,K000212,9,9
John,,Langdon,48,1,NH,Pro-Administration,5,Consular bill,1791-01-12,L000067,10,9
Robert,,Morris,55,1,PA,Pro-Administration,13,Consular bill,1791-01-12,M000985,12,9
George,,Read,56,1,DE,Pro-Administration,3,Consular bill,1791-01-12,R000091,13,9
Philip,John,Schuyler,56,1,NY,Pro-Administration,13,Consular bill,1791-01-12,S000154,14,9
Caleb,,Strong,44,1,MA,Pro-Administration,1,Consular bill,1791-01-12,S001009,16,9
Richard,,Bassett,44,1,DE,Anti-Administration,4,Cmte on President's message on complaint of French against tonnage,1791-01-19,B000226,1,10
Pierce,,Butler,45,1,SC,Pro-Administration,1,Cmte on President's message on complaint of French against tonnage,1791-01-19,B001186,2,10
Philemon,,Dickinson,50,1,NJ,Pro-Administration,3,Cmte on President's message on complaint of French against tonnage,1791-01-19,D000324,17,10
Oliver,,Ellsworth,44,1,CT,Pro-Administration,8,Cmte on President's message on complaint of French against tonnage,1791-01-19,E000147,4,10
William,,Few,41,1,GA,Anti-Administration,1,Cmte on President's message on complaint of French against tonnage,1791-01-19,F000100,19,10
Theodore,,Foster,37,1,RI,Pro-Administration,1,Cmte on President's message on complaint of French against tonnage,1791-01-19,F000313,20,10
James,,Gunn,36,1,GA,Anti-Administration,1,Cmte on President's message on complaint of French against tonnage,1791-01-19,G000526,24,10
Benjamin,,Hawkins,35,1,NC,Pro-Administration,2,Cmte on President's message on complaint of French against tonnage,1791-01-19,H000368,5,10
William,Samuel,Johnson,62,1,CT,Pro-Administration,3,Cmte on President's message on complaint of French against tonnage,1791-01-19,J000182,6,10
Samuel,,Johnston,56,1,NC,Pro-Administration,7,Cmte on President's message on complaint of French against tonnage,1791-01-19,J000198,7,10
Ralph,,Izard,48,1,SC,Pro-Administration,13,Cmte on President's message on complaint of French against tonnage,1791-01-19,I000053,8,10
Rufus,,King,34,1,NY,Pro-Administration,15,Cmte on President's message on complaint of French against tonnage,1791-01-19,K000212,9,10
John,,Langdon,48,1,NH,Pro-Administration,6,Cmte on President's message on complaint of French against tonnage,1791-01-19,L000067,10,10
James,,Monroe,31,1,VA,Anti-Administration,4,Cmte on President's message on complaint of French against tonnage,1791-01-19,M000858,11,10
Robert,,Morris,55,1,PA,Pro-Administration,21,Cmte on President's message on complaint of French against tonnage,1791-01-19,M000985,12,10
George,,Read,56,1,DE,Pro-Administration,7,Cmte on President's message on complaint of French against tonnage,1791-01-19,R000091,13,10
Philip,John,Schuyler,56,1,NY,Pro-Administration,2,Cmte on President's message on complaint of French against tonnage,1791-01-19,S000154,14,10
Caleb,,Strong,44,1,MA,Pro-Administration,10,Cmte on President's message on complaint of French against tonnage,1791-01-19,S001009,16,10
Paine,,Wingate,50,1,NH,Anti-Administration,1,Cmte on President's message on complaint of French against tonnage,1791-01-19,W000633,18,10
Richard,,Bassett,44,1,DE,Anti-Administration,4,Cmte on GW's message complaint of French against tonnage duties,1791-01-19,B000226,1,11
Pierce,,Butler,45,1,SC,Pro-Administration,1,Cmte on GW's message complaint of French against tonnage duties,1791-01-19,B001186,2,11
Philemon,,Dickinson,50,1,NJ,Pro-Administration,2,Cmte on GW's message complaint of French against tonnage duties,1791-01-19,D000324,17,11
Oliver,,Ellsworth,44,1,CT,Pro-Administration,8,Cmte on GW's message complaint of French against tonnage duties,1791-01-19,E000147,4,11
William,,Few,41,1,GA,Anti-Administration,1,Cmte on GW's message complaint of French against tonnage duties,1791-01-19,F000100,19,11
Theodore,,Foster,37,1,RI,Pro-Administration,1,Cmte on GW's message complaint of French against tonnage duties,1791-01-19,F000313,20,11
James,,Gunn,36,1,GA,Anti-Administration,1,Cmte on GW's message complaint of French against tonnage duties,1791-01-19,G000526,24,11
Benjamin,,Hawkins,35,1,NC,Pro-Administration,2,Cmte on GW's message complaint of French against tonnage duties,1791-01-19,H000368,5,11
William,Samuel,Johnson,62,1,CT,Pro-Administration,3,Cmte on GW's message complaint of French against tonnage duties,1791-01-19,J000182,6,11
Samuel,,Johnston,56,1,NC,Pro-Administration,7,Cmte on GW's message complaint of French against tonnage duties,1791-01-19,J000198,7,11
Ralph,,Izard,48,1,SC,Pro-Administration,13,Cmte on GW's message complaint of French against tonnage duties,1791-01-19,I000053,8,11
Rufus,,King,34,1,NY,Pro-Administration,15,Cmte on GW's message complaint of French against tonnage duties,1791-01-19,K000212,9,11
John,,Langdon,48,1,NH,Pro-Administration,6,Cmte on GW's message complaint of French against tonnage duties,1791-01-19,L000067,10,11
James,,Monroe,31,1,VA,Anti-Administration,4,Cmte on GW's message complaint of French against tonnage duties,1791-01-19,M000858,11,11
Robert,,Morris,55,1,PA,Pro-Administration,21,Cmte on GW's message complaint of French against tonnage duties,1791-01-19,M000985,12,11
Philip,John,Schuyler,56,1,NY,Pro-Administration,2,Cmte on GW's message complaint of French against tonnage duties,1791-01-19,S000154,14,11
Caleb,,Strong,44,1,MA,Pro-Administration,10,Cmte on GW's message complaint of French against tonnage duties,1791-01-19,S001009,16,11
Paine,,Wingate,50,1,NH,Anti-Administration,1,Cmte on GW's message complaint of French against tonnage duties,1791-01-19,W000633,18,11
Richard,,Bassett,44,1,DE,Anti-Administration,1,Jt cmte to determine the meeting of the next congress,1791-01-21,B000226,1,12
Pierce,,Butler,45,1,SC,Pro-Administration,4,Jt cmte to determine the meeting of the next congress,1791-01-21,B001186,2,12
Charles,,Carroll,52,1,MD,Pro-Administration,2,Jt cmte to determine the meeting of the next congress,1791-01-21,C000185,25,12
Oliver,,Ellsworth,44,1,CT,Pro-Administration,5,Jt cmte to determine the meeting of the next congress,1791-01-21,E000147,4,12
William,,Few,41,1,GA,Anti-Administration,1,Jt cmte to determine the meeting of the next congress,1791-01-21,F000100,19,12
Theodore,,Foster,37,1,RI,Pro-Administration,2,Jt cmte to determine the meeting of the next congress,1791-01-21,F000313,20,12
James,,Gunn,36,1,GA,Anti-Administration,2,Jt cmte to determine the meeting of the next congress,1791-01-21,G000526,24,12
John,,Henry,39,1,MD,Pro-Administration,4,Jt cmte to determine the meeting of the next congress,1791-01-21,H000508,23,12
William,Samuel,Johnson,62,1,CT,Pro-Administration,2,Jt cmte to determine the meeting of the next congress,1791-01-21,J000182,6,12
Samuel,,Johnston,56,1,NC,Pro-Administration,1,Jt cmte to determine the meeting of the next congress,1791-01-21,J000198,7,12
Ralph,,Izard,48,1,SC,Pro-Administration,7,Jt cmte to determine the meeting of the next congress,1791-01-21,I000053,8,12
Rufus,,King,34,1,NY,Pro-Administration,5,Jt cmte to determine the meeting of the next congress,1791-01-21,K000212,9,12
John,,Langdon,48,1,NH,Pro-Administration,2,Jt cmte to determine the meeting of the next congress,1791-01-21,L000067,10,12
James,,Monroe,31,1,VA,Anti-Administration,5,Jt cmte to determine the meeting of the next congress,1791-01-21,M000858,11,12
Robert,,Morris,55,1,PA,Pro-Administration,4,Jt cmte to determine the meeting of the next congress,1791-01-21,M000985,12,12
George,,Read,56,1,DE,Pro-Administration,1,Jt cmte to determine the meeting of the next congress,1791-01-21,R000091,13,12
Philip,John,Schuyler,56,1,NY,Pro-Administration,3,Jt cmte to determine the meeting of the next congress,1791-01-21,S000154,14,12
Caleb,,Strong,44,1,MA,Pro-Administration,8,Jt cmte to determine the meeting of the next congress,1791-01-21,S001009,16,12
Paine,,Wingate,50,1,NH,Anti-Administration,4,Jt cmte to determine the meeting of the next congress,1791-01-21,W000633,18,12
Pierce,,Butler,45,1,SC,Pro-Administration,4,Cmte on resolution moved by Gunn extracts from Executive Journal,1791-01-21,B001186,2,13
Charles,,Carroll,52,1,MD,Pro-Administration,3,Cmte on resolution moved by Gunn extracts from Executive Journal,1791-01-21,C000185,25,13
Philemon,,Dickinson,50,1,NJ,Pro-Administration,1,Cmte on resolution moved by Gunn extracts from Executive Journal,1791-01-21,D000324,17,13
Oliver,,Ellsworth,44,1,CT,Pro-Administration,12,Cmte on resolution moved by Gunn extracts from Executive Journal,1791-01-21,E000147,4,13
William,,Few,41,1,GA,Anti-Administration,1,Cmte on resolution moved by Gunn extracts from Executive Journal,1791-01-21,F000100,19,13
Theodore,,Foster,37,1,RI,Pro-Administration,2,Cmte on resolution moved by Gunn extracts from Executive Journal,1791-01-21,F000313,20,13
James,,Gunn,36,1,GA,Anti-Administration,11,Cmte on resolution moved by Gunn extracts from Executive Journal,1791-01-21,G000526,24,13
John,,Henry,39,1,MD,Pro-Administration,1,Cmte on resolution moved by Gunn extracts from Executive Journal,1791-01-21,H000508,23,13
William,Samuel,Johnson,62,1,CT,Pro-Administration,1,Cmte on resolution moved by Gunn extracts from Executive Journal,1791-01-21,J000182,6,13
Samuel,,Johnston,56,1,NC,Pro-Administration,1,Cmte on resolution moved by Gunn extracts from Executive Journal,1791-01-21,J000198,7,13
Rufus,,King,34,1,NY,Pro-Administration,8,Cmte on resolution moved by Gunn extracts from Executive Journal,1791-01-21,K000212,9,13
John,,Langdon,48,1,NH,Pro-Administration,2,Cmte on resolution moved by Gunn extracts from Executive Journal,1791-01-21,L000067,10,13
William,,Maclay,52,1,PA,Anti-Administration,1,Cmte on resolution moved by Gunn extracts from Executive Journal,1791-01-21,M000031,21,13
James,,Monroe,31,1,VA,Anti-Administration,8,Cmte on resolution moved by Gunn extracts from Executive Journal,1791-01-21,M000858,11,13
George,,Read,56,1,DE,Pro-Administration,2,Cmte on resolution moved by Gunn extracts from Executive Journal,1791-01-21,R000091,13,13
Philip,John,Schuyler,56,1,NY,Pro-Administration,2,Cmte on resolution moved by Gunn extracts from Executive Journal,1791-01-21,S000154,14,13
Caleb,,Strong,44,1,MA,Pro-Administration,4,Cmte on resolution moved by Gunn extracts from Executive Journal,1791-01-21,S001009,16,13
Paine,,Wingate,50,1,NH,Anti-Administration,2,Cmte on resolution moved by Gunn extracts from Executive Journal,1791-01-21,W000633,18,13
Richard,,Bassett,44,1,DE,Anti-Administration,1,Cmte on VA papers,1791-01-31,B000226,1,14
Pierce,,Butler,45,1,SC,Pro-Administration,2,Cmte on VA papers,1791-01-31,B001186,2,14
Charles,,Carroll,52,1,MD,Pro-Administration,1,Cmte on VA papers,1791-01-31,C000185,25,14
Philemon,,Dickinson,50,1,NJ,Pro-Administration,2,Cmte on VA papers,1791-01-31,D000324,17,14
Oliver,,Ellsworth,44,1,CT,Pro-Administration,5,Cmte on VA papers,1791-01-31,E000147,4,14
William,,Few,41,1,GA,Anti-Administration,1,Cmte on VA papers,1791-01-31,F000100,19,14
Theodore,,Foster,37,1,RI,Pro-Administration,2,Cmte on VA papers,1791-01-31,F000313,20,14
Benjamin,,Hawkins,35,1,NC,Pro-Administration,5,Cmte on VA papers,1791-01-31,H000368,5,14
Ralph,,Izard,48,1,SC,Pro-Administration,1,Cmte on VA papers,1791-01-31,I000053,8,14
Rufus,,King,34,1,NY,Pro-Administration,7,Cmte on VA papers,1791-01-31,K000212,9,14
William,,Maclay,52,1,PA,Anti-Administration,1,Cmte on VA papers,1791-01-31,M000031,21,14
James,,Monroe,31,1,VA,Anti-Administration,12,Cmte on VA papers,1791-01-31,M000858,11,14
George,,Read,56,1,DE,Pro-Administration,9,Cmte on VA papers,1791-01-31,R000091,13,14
Philip,John,Schuyler,56,1,NY,Pro-Administration,10,Cmte on VA papers,1791-01-31,S000154,14,14
Joseph,,Stanton,50,1,RI,Anti-Administration,1,Cmte on VA papers,1791-01-31,S000805,15,14
Caleb,,Strong,44,1,MA,Pro-Administration,1,Cmte on VA papers,1791-01-31,S001009,16,14
Paine,,Wingate,50,1,NH,Anti-Administration,2,Cmte on VA papers,1791-01-31,W000633,18,14
Richard,,Bassett,44,1,DE,Anti-Administration,3,cmte on Excise bill,1791-02-02,B000226,1,15
Pierce,,Butler,45,1,SC,Pro-Administration,2,cmte on Excise bill,1791-02-02,B001186,2,15
