senator_id,first_name,middle_name,last_name,TotalVotes,TotalCongresses,TotalCommittees,MaxVotes,VotesPerCmte,VotesPerCongress,full_name,Administrative,Ceremonial,Claims,Commerce,Finance,Foreign Affairs,Indian Affairs,Judiciary,Military,Misc,Post Office,Public Lands,Roads And Canals,Washington DC
T000348,Uriah,,Tracy,4283,6,765,22,5.6,713.83,Uriah Tracy,390.0,169.0,824.0,309.0,449.0,260.0,143.0,628.0,484.0,66.0,57.0,396.0,27.0,81.0
B000745,Stephen,Row,Bradley,3688,7,740,24,4.98,526.86,Stephen Row Bradley,243.0,46.0,620.0,286.0,256.0,295.0,123.0,482.0,611.0,112.0,56.0,349.0,50.0,159.0
A000197,Joseph,Inslee,Anderson,3661,8,788,25,4.65,457.62,Joseph Inslee Anderson,305.0,113.0,463.0,226.0,280.0,291.0,201.0,614.0,553.0,41.0,78.0,310.0,50.0,136.0
R000448,James,,Ross,2532,5,478,24,5.3,506.4,James Ross,93.0,90.0,366.0,222.0,240.0,152.0,122.0,433.0,287.0,17.0,43.0,414.0,,53.0
S000609,Samuel,,Smith,2403,5,407,25,5.9,480.6,Samuel Smith,104.0,85.0,295.0,230.0,193.0,318.0,9.0,217.0,698.0,31.0,48.0,46.0,21.0,108.0
K000212,Rufus,,King,2290,7,401,30,5.71,327.14,Rufus King,185.0,94.0,365.0,224.0,304.0,252.0,99.0,308.0,246.0,32.0,24.0,112.0,17.0,28.0
H000618,James,,Hillhouse,2155,8,755,23,2.85,269.38,James Hillhouse,130.0,30.0,377.0,217.0,311.0,115.0,99.0,355.0,222.0,25.0,40.0,134.0,28.0,72.0
L000364,Samuel,,Livermore,2136,4,580,19,3.68,534.0,Samuel Livermore,198.0,66.0,377.0,223.0,264.0,82.0,89.0,376.0,231.0,41.0,25.0,146.0,,18.0
G000183,William,Branch,Giles,2081,5,361,31,5.76,416.2,William Branch Giles,179.0,19.0,215.0,186.0,179.0,297.0,16.0,437.0,263.0,32.0,17.0,128.0,34.0,79.0
B000084,Abraham,,Baldwin,2072,5,493,20,4.2,414.4,Abraham Baldwin,163.0,48.0,262.0,203.0,159.0,240.0,69.0,390.0,189.0,50.0,20.0,207.0,22.0,50.0
B000929,John,,Brown,1796,7,568,18,3.16,256.57,John Brown,105.0,39.0,312.0,168.0,141.0,107.0,86.0,270.0,159.0,29.0,30.0,332.0,,18.0
L000067,John,,Langdon,1775,6,585,15,3.03,295.83,John Langdon,127.0,98.0,354.0,343.0,165.0,142.0,32.0,103.0,280.0,16.0,22.0,78.0,,15.0
R000092,Jacob,,Read,1740,3,414,21,4.2,580.0,Jacob Read,90.0,160.0,199.0,171.0,196.0,173.0,44.0,335.0,165.0,16.0,39.0,126.0,,26.0
A000041,John,Quincy,Adams,1740,3,364,24,4.78,580.0,John Quincy Adams,208.0,13.0,126.0,148.0,115.0,229.0,55.0,365.0,230.0,33.0,14.0,122.0,29.0,53.0
E000147,Oliver,,Ellsworth,1617,4,272,19,5.94,404.25,Oliver Ellsworth,122.0,30.0,306.0,181.0,210.0,121.0,66.0,263.0,234.0,16.0,3.0,65.0,,
S001009,Caleb,,Strong,1510,4,284,19,5.32,377.5,Caleb Strong,126.0,37.0,335.0,155.0,179.0,99.0,58.0,227.0,141.0,34.0,15.0,100.0,,4.0
M000831,Samuel,Latham,Mitchill,1510,3,309,24,4.89,503.33,Samuel Latham Mitchill,126.0,65.0,222.0,175.0,80.0,162.0,84.0,178.0,278.0,14.0,5.0,52.0,19.0,50.0
F000344,Jesse,,Franklin,1457,5,464,23,3.14,291.4,Jesse Franklin,144.0,15.0,285.0,133.0,102.0,62.0,31.0,202.0,164.0,26.0,57.0,166.0,20.0,50.0
G000442,Andrew,,Gregg,1285,2,309,20,4.16,642.5,Andrew Gregg,140.0,9.0,275.0,59.0,83.0,91.0,43.0,111.0,209.0,12.0,38.0,153.0,12.0,50.0
B000474,William,,Bingham,1254,3,293,21,4.28,418.0,William Bingham,82.0,109.0,155.0,239.0,206.0,132.0,33.0,78.0,153.0,22.0,12.0,23.0,,10.0
G000526,James,,Gunn,1243,6,341,21,3.65,207.17,James Gunn,75.0,53.0,214.0,152.0,79.0,42.0,81.0,47.0,381.0,16.0,23.0,77.0,,3.0
L000120,John,,Laurance,1212,3,263,19,4.61,404.0,John Laurance,62.0,83.0,173.0,137.0,185.0,74.0,41.0,211.0,128.0,14.0,23.0,73.0,,8.0
W000392,Samuel,,White,1209,5,420,19,2.88,241.8,Samuel White,122.0,23.0,156.0,111.0,65.0,85.0,23.0,165.0,215.0,20.0,29.0,86.0,19.0,90.0
S001073,Thomas,,Sumter,1172,5,391,23,3.0,234.4,Thomas Sumter,66.0,24.0,162.0,71.0,61.0,129.0,25.0,88.0,379.0,18.0,7.0,79.0,21.0,42.0
C000895,William,Harris,Crawford,1167,2,259,27,4.51,583.5,William Harris Crawford,73.0,26.0,176.0,74.0,74.0,99.0,31.0,264.0,141.0,5.0,61.0,86.0,18.0,39.0
P000026,Elijah,,Paine,1159,3,354,23,3.27,386.33,Elijah Paine,98.0,20.0,250.0,154.0,170.0,41.0,31.0,140.0,92.0,23.0,17.0,101.0,,22.0
G000286,Benjamin,,Goodhue,1125,3,254,24,4.43,375.0,Benjamin Goodhue,51.0,12.0,185.0,293.0,190.0,98.0,12.0,54.0,168.0,13.0,8.0,34.0,,7.0
S000566,John,,Smith,1057,4,346,26,3.05,264.25,John Smith,43.0,24.0,146.0,142.0,55.0,187.0,27.0,121.0,147.0,22.0,15.0,69.0,16.0,43.0
J000017,James,,Jackson,1035,4,261,22,3.97,258.75,James Jackson,75.0,11.0,161.0,158.0,82.0,54.0,39.0,120.0,200.0,9.0,46.0,49.0,5.0,26.0
T000107,Henry,,Tazewell,1000,3,257,17,3.89,333.33,Henry Tazewell,34.0,39.0,133.0,101.0,128.0,108.0,39.0,173.0,134.0,11.0,4.0,72.0,,24.0
P000431,John,,Pope,963,2,237,24,4.06,481.5,John Pope,65.0,22.0,126.0,84.0,49.0,107.0,28.0,185.0,91.0,9.0,9.0,67.0,64.0,57.0
D000165,Jonathan,,Dayton,955,3,249,23,3.84,318.33,Jonathan Dayton,82.0,75.0,121.0,67.0,48.0,84.0,11.0,218.0,155.0,,8.0,56.0,9.0,21.0
