NAME,VOTES,COMMITTEE,CMTE_TYPE,MONTH,DAY,YEAR,CONGRESS,PAGE
Adams,3,Cmte on bill Samuel Whiting,,Feb,17,1808,10,10
And,2,Cmte on bill Samuel Whiting,,Feb,17,1808,10,10
Bradl,10,Cmte on bill Samuel Whiting,,Feb,17,1808,10,10
Cond,2,Cmte on bill Samuel Whiting,,Feb,17,1808,10,10
Gail,2,Cmte on bill Samuel Whiting,,Feb,17,1808,10,10
Gilm,2,Cmte on bill Samuel Whiting,,Feb,17,1808,10,10
Good,1,Cmte on bill Samuel Whiting,,Feb,17,1808,10,10
Gregg,1,Cmte on bill Samuel Whiting,,Feb,17,1808,10,10
Howl,2,Cmte on bill Samuel Whiting,,Feb,17,1808,10,10
Math,1,Cmte on bill Samuel Whiting,,Feb,17,1808,10,10
Mit,1,Cmte on bill Samuel Whiting,,Feb,17,1808,10,10
Pick,1,Cmte on bill Samuel Whiting,,Feb,17,1808,10,10
NY,1,Cmte on bill Samuel Whiting,,Feb,17,1808,10,10
Tiffin,1,Cmte on bill Samuel Whiting,,Feb,17,1808,10,10
white,4,Cmte on bill Samuel Whiting,,Feb,17,1808,10,10
Adams,13,Cmte on Giles motion about Habeus Corpus amended - 5 members,,Feb,18,1808,10,10
And,13,Cmte on Giles motion about Habeus Corpus amended - 5 members,,Feb,18,1808,10,10
Bay,8,Cmte on Giles motion about Habeus Corpus amended - 5 members,,Feb,18,1808,10,10
Bradl,10,Cmte on Giles motion about Habeus Corpus amended - 5 members,,Feb,18,1808,10,10
Cond,1,Cmte on Giles motion about Habeus Corpus amended - 5 members,,Feb,18,1808,10,10
Craw,12,Cmte on Giles motion about Habeus Corpus amended - 5 members,,Feb,18,1808,10,10
Frank,3,Cmte on Giles motion about Habeus Corpus amended - 5 members,,Feb,18,1808,10,10
Gail,1,Cmte on Giles motion about Habeus Corpus amended - 5 members,,Feb,18,1808,10,10
Giles,22,Cmte on Giles motion about Habeus Corpus amended - 5 members,,Feb,18,1808,10,10
