NAME,VOTES,COMMITTEE,CMTE_TYPE,MONTH,DAY,YEAR,CONGRESS,PAGE,first,st
bassett,1,Cmte on Registering bill,,Dec,31,1792,2,10,,
bradley,6,Cmte on Registering bill,,Dec,31,1792,2,10,,
brown,2,Cmte on Registering bill,,Dec,31,1792,2,10,,
butler,2,Cmte on Registering bill,,Dec,31,1792,2,10,,
cabot,13,Cmte on Registering bill,,Dec,31,1792,2,10,,
ellsworth,3,Cmte on Registering bill,,Dec,31,1792,2,10,,
few,4,Cmte on Registering bill,,Dec,31,1792,2,10,,
foster,3,Cmte on Registering bill,,Dec,31,1792,2,10,,
hawkins,5,Cmte on Registering bill,,Dec,31,1792,2,10,,
johnston,3,Cmte on Registering bill,,Dec,31,1792,2,10,,
izard,4,Cmte on Registering bill,,Dec,31,1792,2,10,,
king,1,Cmte on Registering bill,,Dec,31,1792,2,10,,
langdon,6,Cmte on Registering bill,,Dec,31,1792,2,10,,
monroe,6,Cmte on Registering bill,,Dec,31,1792,2,10,,
morris,11,Cmte on Registering bill,,Dec,31,1792,2,10,,
rutherfurd,2,Cmte on Registering bill,,Dec,31,1792,2,10,,
sherman,2,Cmte on Registering bill,,Dec,31,1792,2,10,,
stanton,2,Cmte on Registering bill,,Dec,31,1792,2,10,,
strong,4,Cmte on Registering bill,,Dec,31,1792,2,10,,
taylor,5,Cmte on Registering bill,,Dec,31,1792,2,10,,
bradley,14,cmte on bill for settling accts,,Dec,10,1792,2,10,,
brown,7,cmte on bill for settling accts,,Dec,10,1792,2,10,,
butler,5,cmte on bill for settling accts,,Dec,10,1792,2,10,,
cabot,1,cmte on bill for settling accts,,Dec,10,1792,2,10,,
dickinson,1,cmte on bill for settling accts,,Dec,10,1792,2,10,,
ellsworth,13,cmte on bill for settling accts,,Dec,10,1792,2,10,,
few,1,cmte on bill for settling accts,,Dec,10,1792,2,10,,
hawkins,2,cmte on bill for settling accts,,Dec,10,1792,2,10,,
henry,1,cmte on bill for settling accts,,Dec,10,1792,2,10,,
izard,4,cmte on bill for settling accts,,Dec,10,1792,2,10,,
johnston,5,cmte on bill for settling accts,,Dec,10,1792,2,10,,
king,13,cmte on bill for settling accts,,Dec,10,1792,2,10,,
langdon,0,cmte on bill for settling accts,,Dec,10,1792,2,10,,
monroe,7,cmte on bill for settling accts,,Dec,10,1792,2,10,,
morris,1,cmte on bill for settling accts,,Dec,10,1792,2,10,,
read,1,cmte on bill for settling accts,,Dec,10,1792,2,10,,
robinson,1,cmte on bill for settling accts,,Dec,10,1792,2,10,,
sherman,4,cmte on bill for settling accts,,Dec,10,1792,2,10,,
strong,14,cmte on bill for settling accts,,Dec,10,1792,2,10,,
bassett,1,Cmte on mint bill,,Jan,3,1793,2,10,,
cabot,9,Cmte on mint bill,,Jan,3,1793,2,10,,
dickinson,1,Cmte on mint bill,,Jan,3,1793,2,10,,
few,1,Cmte on mint bill,,Jan,3,1793,2,10,,
johnston,9,Cmte on mint bill,,Jan,3,1793,2,10,,
izard,1,Cmte on mint bill,,Jan,3,1793,2,10,,
king,3,Cmte on mint bill,,Jan,3,1793,2,10,,
langdon,1,Cmte on mint bill,,Jan,3,1793,2,10,,
monroe,1,Cmte on mint bill,,Jan,3,1793,2,10,,
morris,10,Cmte on mint bill,,Jan,3,1793,2,10,,
rutherfurd,4,Cmte on mint bill,,Jan,3,1793,2,10,,
sherman,1,Cmte on mint bill,,Jan,3,1793,2,10,,
taylor,3,Cmte on mint bill,,Jan,3,1793,2,10,,
butler,2,Cmte on M Hay & C Strong,,Jan,3,1793,2,10,,
edwards,4,Cmte on M Hay & C Strong,,Jan,3,1793,2,10,,
ellsworth,4,Cmte on M Hay & C Strong,,Jan,3,1793,2,10,,
hawkins,1,Cmte on M Hay & C Strong,,Jan,3,1793,2,10,,
johnston,3,Cmte on M Hay & C Strong,,Jan,3,1793,2,10,,
king,7,Cmte on M Hay & C Strong,,Jan,3,1793,2,10,,
morris,2,Cmte on M Hay & C Strong,,Jan,3,1793,2,10,,
rutherfurd,3,Cmte on M Hay & C Strong,,Jan,3,1793,2,10,,
sherman,10,Cmte on M Hay & C Strong,,Jan,3,1793,2,10,,
strong,13,Cmte on M Hay & C Strong,,Jan,3,1793,2,10,,
wingate,4,Cmte on M Hay & C Strong,,Jan,3,1793,2,10,,
taylor,2,Cmte on M Hay & C Strong,,Jan,3,1793,2,10,,
bassett,1,Cmte on bill widows & orphans,,Jan,9,1793,2,10,,
bradley,11,Cmte on bill widows & orphans,,Jan,9,1793,2,10,,
brown,4,Cmte on bill widows & orphans,,Jan,9,1793,2,10,,
butler,1,Cmte on bill widows & orphans,,Jan,9,1793,2,10,,
