NAME,VOTES,COMMITTEE,CMTE_TYPE,MONTH,DAY,YEAR,CONGRESS,PAGE
bingham,5,Cmte to prepare answer to PUS’s speech,,May,16,1797,5,1
blount,1,Cmte to prepare answer to PUS’s speech,,May,16,1797,5,1
bradford,2,Cmte to prepare answer to PUS’s speech,,May,16,1797,5,1
goodhue,1,Cmte to prepare answer to PUS’s speech,,May,16,1797,5,1
hillhouse,1,Cmte to prepare answer to PUS’s speech,,May,16,1797,5,1
howard,3,Cmte to prepare answer to PUS’s speech,,May,16,1797,5,1
langdon,6,Cmte to prepare answer to PUS’s speech,,May,16,1797,5,1
laurance,11,Cmte to prepare answer to PUS’s speech,,May,16,1797,5,1
livermore,11,Cmte to prepare answer to PUS’s speech,,May,16,1797,5,1
mason,7,Cmte to prepare answer to PUS’s speech,,May,16,1797,5,1
sedgwick,3,Cmte to prepare answer to PUS’s speech,,May,16,1797,5,1
tazewell,1,Cmte to prepare answer to PUS’s speech,,May,16,1797,5,1
tracy,12,Cmte to prepare answer to PUS’s speech,,May,16,1797,5,1
vining,1,Cmte to prepare answer to PUS’s speech,,May,16,1797,5,1
bingham,2,Cmte on answer to address And Addition,,May,19,1797,5,1
henry,14,Cmte on answer to address And Addition,,May,19,1797,5,1
hillhouse,1,Cmte on answer to address And Addition,,May,19,1797,5,1
hunter,8,Cmte on answer to address And Addition,,May,19,1797,5,1
langdon,4,Cmte on answer to address And Addition,,May,19,1797,5,1
mason,1,Cmte on answer to address And Addition,,May,19,1797,5,1
sedgwick,1,Cmte on answer to address And Addition,,May,19,1797,5,1
stockton,2,Cmte on answer to address And Addition,,May,19,1797,5,1
tazewell,9,Cmte on answer to address And Addition,,May,19,1797,5,1
brown,1,Cmte on ports & harbors,,May,29,1797,5,1
foster,1,Cmte on ports & harbors,,May,29,1797,5,1
goodhue,1,Cmte on ports & harbors,,May,29,1797,5,1
henry,1,Cmte on ports & harbors,,May,29,1797,5,1
hillhouse,16,Cmte on ports & harbors,,May,29,1797,5,1
howard,3,Cmte on ports & harbors,,May,29,1797,5,1
langdon,2,Cmte on ports & harbors,,May,29,1797,5,1
paine,16,Cmte on ports & harbors,,May,29,1797,5,1
read,1,Cmte on ports & harbors,,May,29,1797,5,1
rutherfurd,1,Cmte on ports & harbors,,May,29,1797,5,1
sedgwick,1,Cmte on ports & harbors,,May,29,1797,5,1
stockton,17,Cmte on ports & harbors,,May,29,1797,5,1
tattnall,2,Cmte on ports & harbors,,May,29,1797,5,1
tracy,1,Cmte on ports & harbors,,May,29,1797,5,1
vining,1,Cmte on ports & harbors,,May,29,1797,5,1
bloodworth,1,Cmte on artillery & Cavalry & Provisional army,,May,29,1797,5,1
brown,1,Cmte on artillery & Cavalry & Provisional army,,May,29,1797,5,1
cocke,1,Cmte on artillery & Cavalry & Provisional army,,May,29,1797,5,1
foster,1,Cmte on artillery & Cavalry & Provisional army,,May,29,1797,5,1
hillhouse,3,Cmte on artillery & Cavalry & Provisional army,,May,29,1797,5,1
howard,1,Cmte on artillery & Cavalry & Provisional army,,May,29,1797,5,1
langdon,2,Cmte on artillery & Cavalry & Provisional army,,May,29,1797,5,1
latimer,1,Cmte on artillery & Cavalry & Provisional army,,May,29,1797,5,1
laurance,3,Cmte on artillery & Cavalry & Provisional army,,May,29,1797,5,1
livermore,2,Cmte on artillery & Cavalry & Provisional army,,May,29,1797,5,1
marshall,16,Cmte on artillery & Cavalry & Provisional army,,May,29,1797,5,1
mason,2,Cmte on artillery & Cavalry & Provisional army,,May,29,1797,5,1
read,4,Cmte on artillery & Cavalry & Provisional army,,May,29,1797,5,1
ross,17,Cmte on artillery & Cavalry & Provisional army,,May,29,1797,5,1
sedgwick,20,Cmte on artillery & Cavalry & Provisional army,,May,29,1797,5,1
tazewell,1,Cmte on artillery & Cavalry & Provisional army,,May,29,1797,5,1
tracy,21,Cmte on artillery & Cavalry & Provisional army,,May,29,1797,5,1
vining,16,Cmte on artillery & Cavalry & Provisional army,,May,29,1797,5,1
bradford,1,Cmte on recommitted bill depredations by Americans on American,,May,29,1797,5,1
brown,1,Cmte on recommitted bill depredations by Americans on American,,May,29,1797,5,1
henry,2,Cmte on recommitted bill depredations by Americans on American,,May,29,1797,5,1
hunter,1,Cmte on recommitted bill depredations by Americans on American,,May,29,1797,5,1
langdon,5,Cmte on recommitted bill depredations by Americans on American,,May,29,1797,5,1
laurance,15,Cmte on recommitted bill depredations by Americans on American,,May,29,1797,5,1
livermore,15,Cmte on recommitted bill depredations by Americans on American,,May,29,1797,5,1
mason,1,Cmte on recommitted bill depredations by Americans on American,,May,29,1797,5,1
read,14,Cmte on recommitted bill depredations by Americans on American,,May,29,1797,5,1
sedgwick,8,Cmte on recommitted bill depredations by Americans on American,,May,29,1797,5,1
tattnall,1,Cmte on recommitted bill depredations by Americans on American,,May,29,1797,5,1
tazewell,9,Cmte on recommitted bill depredations by Americans on American,,May,29,1797,5,1
tichenor,4,Cmte on recommitted bill depredations by Americans on American,,May,29,1797,5,1
tracy,2,Cmte on recommitted bill depredations by Americans on American,,May,29,1797,5,1
bingham,3,Cmte on bill militia,,May,29,1797,5,1
blount,3,Cmte on bill militia,,May,29,1797,5,1
brown,3,Cmte on bill militia,,May,29,1797,5,1
foster,14,Cmte on bill militia,,May,29,1797,5,1
goodhue,1,Cmte on bill militia,,May,29,1797,5,1
hunter,2,Cmte on bill militia,,May,29,1797,5,1
howard,24,Cmte on bill militia,,May,29,1797,5,1
langdon,9,Cmte on bill militia,,May,29,1797,5,1
laurance,11,Cmte on bill militia,,May,29,1797,5,1
latimer,16,Cmte on bill militia,,May,29,1797,5,1
livermore,1,Cmte on bill militia,,May,29,1797,5,1
martin,2,Cmte on bill militia,,May,29,1797,5,1
mason,9,Cmte on bill militia,,May,29,1797,5,1
read,1,Cmte on bill militia,,May,29,1797,5,1
ross,6,Cmte on bill militia,,May,29,1797,5,1
sedgwick,2,Cmte on bill militia,,May,29,1797,5,1
stockton,3,Cmte on bill militia,,May,29,1797,5,1
tazewell,1,Cmte on bill militia,,May,29,1797,5,1
tattnall,6,Cmte on bill militia,,May,29,1797,5,1
tichenor,15,Cmte on bill militia,,May,29,1797,5,1
tracy,2,Cmte on bill militia,,May,29,1797,5,1
vining,6,Cmte on bill militia,,May,29,1797,5,1
bingham,17,Cmte on Arming Vessels,,May,29,1797,5,1
bloodworth,1,Cmte on Arming Vessels,,May,29,1797,5,1
blount,1,Cmte on Arming Vessels,,May,29,1797,5,1
bradford,17,Cmte on Arming Vessels,,May,29,1797,5,1
brown,2,Cmte on Arming Vessels,,May,29,1797,5,1
foster,3,Cmte on Arming Vessels,,May,29,1797,5,1
goodhue,18,Cmte on Arming Vessels,,May,29,1797,5,1
henry,15,Cmte on Arming Vessels,,May,29,1797,5,1
hillhouse,4,Cmte on Arming Vessels,,May,29,1797,5,1
howard,1,Cmte on Arming Vessels,,May,29,1797,5,1
langdon,5,Cmte on Arming Vessels,,May,29,1797,5,1
latimer,2,Cmte on Arming Vessels,,May,29,1797,5,1
laurance,3,Cmte on Arming Vessels,,May,29,1797,5,1
livermore,3,Cmte on Arming Vessels,,May,29,1797,5,1
martin,2,Cmte on Arming Vessels,,May,29,1797,5,1
marshall,1,Cmte on Arming Vessels,,May,29,1797,5,1
mason,3,Cmte on Arming Vessels,,May,29,1797,5,1
paine,3,Cmte on Arming Vessels,,May,29,1797,5,1
read,2,Cmte on Arming Vessels,,May,29,1797,5,1
ross,3,Cmte on Arming Vessels,,May,29,1797,5,1
rutherfurd,14,Cmte on Arming Vessels,,May,29,1797,5,1
sedgwick,3,Cmte on Arming Vessels,,May,29,1797,5,1
stockton,2,Cmte on Arming Vessels,,May,29,1797,5,1
tazewell,5,Cmte on Arming Vessels,,May,29,1797,5,1
tattnall,1,Cmte on Arming Vessels,,May,29,1797,5,1
tracy,3,Cmte on Arming Vessels,,May,29,1797,5,1
bingham,3,Cmte on Tripoli Treaty,,May,30,1797,5,1
bloodworth,8,Cmte on Tripoli Treaty,,May,30,1797,5,1
bradford,1,Cmte on Tripoli Treaty,,May,30,1797,5,1
goodhue,6,Cmte on Tripoli Treaty,,May,30,1797,5,1
henry,3,Cmte on Tripoli Treaty,,May,30,1797,5,1
hillhouse,1,Cmte on Tripoli Treaty,,May,30,1797,5,1
langdon,4,Cmte on Tripoli Treaty,,May,30,1797,5,1
latimer,2,Cmte on Tripoli Treaty,,May,30,1797,5,1
laurance,2,Cmte on Tripoli Treaty,,May,30,1797,5,1
livermore,2,Cmte on Tripoli Treaty,,May,30,1797,5,1
marshall,3,Cmte on Tripoli Treaty,,May,30,1797,5,1
mason,1,Cmte on Tripoli Treaty,,May,30,1797,5,1
paine,1,Cmte on Tripoli Treaty,,May,30,1797,5,1
read,1,Cmte on Tripoli Treaty,,May,30,1797,5,1
ross,4,Cmte on Tripoli Treaty,,May,30,1797,5,1
stockton,3,Cmte on Tripoli Treaty,,May,30,1797,5,1
tazewell,6,Cmte on Tripoli Treaty,,May,30,1797,5,1
tattnall,1,Cmte on Tripoli Treaty,,May,30,1797,5,1
tichenor,1,Cmte on Tripoli Treaty,,May,30,1797,5,1
tracy,6,Cmte on Tripoli Treaty,,May,30,1797,5,1
vining,4,Cmte on Tripoli Treaty,,May,30,1797,5,1
bloodworth,8,Cmte on bill export of ammo,,May,31,1797,5,1
blount,1,Cmte on bill export of ammo,,May,31,1797,5,1
brown,12,Cmte on bill export of ammo,,May,31,1797,5,1
goodhue,1,Cmte on bill export of ammo,,May,31,1797,5,1
hunter,2,Cmte on bill export of ammo,,May,31,1797,5,1
langdon,1,Cmte on bill export of ammo,,May,31,1797,5,1
laurance,3,Cmte on bill export of ammo,,May,31,1797,5,1
livermore,3,Cmte on bill export of ammo,,May,31,1797,5,1
paine,1,Cmte on bill export of ammo,,May,31,1797,5,1
read,13,Cmte on bill export of ammo,,May,31,1797,5,1
ross,2,Cmte on bill export of ammo,,May,31,1797,5,1
sedgwick,1,Cmte on bill export of ammo,,May,31,1797,5,1
stockton,3,Cmte on bill export of ammo,,May,31,1797,5,1
tazewell,4,Cmte on bill export of ammo,,May,31,1797,5,1
tichenor,1,Cmte on bill export of ammo,,May,31,1797,5,1
tracy,2,Cmte on bill export of ammo,,May,31,1797,5,1
vining,2,Cmte on bill export of ammo,,May,31,1797,5,1
bingham,6,Cmte NC bill,,Apr,10,1798,5,10
bloodworth,1,Cmte NC bill,,Apr,10,1798,5,10
brown,1,Cmte NC bill,,Apr,10,1798,5,10
goodhue,3,Cmte NC bill,,Apr,10,1798,5,10
greene,1,Cmte NC bill,,Apr,10,1798,5,10
