NAME,VOTES,COMMITTEE,CMTE_TYPE,MONTH,DAY,YEAR,CONGRESS,PAGE,first
anderson,2,Cmte on revision of laws about to expire,,Mar,11,1800,6,10,
bloodworth,7,Cmte on revision of laws about to expire,,Mar,11,1800,6,10,
brown,1,Cmte on revision of laws about to expire,,Mar,11,1800,6,10,
chipman,5,Cmte on revision of laws about to expire,,Mar,11,1800,6,10,
cocke,2,Cmte on revision of laws about to expire,,Mar,11,1800,6,10,
dayton,4,Cmte on revision of laws about to expire,,Mar,11,1800,6,10,
foster,1,Cmte on revision of laws about to expire,,Mar,11,1800,6,10,
franklin,2,Cmte on revision of laws about to expire,,Mar,11,1800,6,10,
goodhue,2,Cmte on revision of laws about to expire,,Mar,11,1800,6,10,
greene,4,Cmte on revision of laws about to expire,,Mar,11,1800,6,10,
gunn,2,Cmte on revision of laws about to expire,,Mar,11,1800,6,10,
hillhouse,1,Cmte on revision of laws about to expire,,Mar,11,1800,6,10,
howard,1,Cmte on revision of laws about to expire,,Mar,11,1800,6,10,
latimer,1,Cmte on revision of laws about to expire,,Mar,11,1800,6,10,
laurance,2,Cmte on revision of laws about to expire,,Mar,11,1800,6,10,
livermore,2,Cmte on revision of laws about to expire,,Mar,11,1800,6,10,
lloyd,3,Cmte on revision of laws about to expire,,Mar,11,1800,6,10,
marshall,3,Cmte on revision of laws about to expire,,Mar,11,1800,6,10,
mason,1,Cmte on revision of laws about to expire,,Mar,11,1800,6,10,Stevens
paine,3,Cmte on revision of laws about to expire,,Mar,11,1800,6,10,
pinckney,1,Cmte on revision of laws about to expire,,Mar,11,1800,6,10,
ross,4,Cmte on revision of laws about to expire,,Mar,11,1800,6,10,
tracy,19,Cmte on revision of laws about to expire,,Mar,11,1800,6,10,
watson,1,Cmte on revision of laws about to expire,,Mar,11,1800,6,10,
anderson,13,Cmte on motion to amend judicial act---jurors,,Mar,12,1800,6,10,
bloodworth,4,Cmte on motion to amend judicial act---jurors,,Mar,12,1800,6,10,
chipman,18,Cmte on motion to amend judicial act---jurors,,Mar,12,1800,6,10,
dayton,1,Cmte on motion to amend judicial act---jurors,,Mar,12,1800,6,10,
