NAME,VOTES,COMMITTEE,CMTE_TYPE,MONTH,DAY,YEAR,CONGRESS,PAGE,first,st
adams,17,Jt cmte on Adams's motion,,Feb,6,1807,9,10,,
baldwin,2,Jt cmte on Adams's motion,,Feb,6,1807,9,10,,
bayard,2,Jt cmte on Adams's motion,,Feb,6,1807,9,10,,
bradley,9,Jt cmte on Adams's motion,,Feb,6,1807,9,10,,
giles,5,Jt cmte on Adams's motion,,Feb,6,1807,9,10,,
gilman,1,Jt cmte on Adams's motion,,Feb,6,1807,9,10,,
hillhouse,1,Jt cmte on Adams's motion,,Feb,6,1807,9,10,,
logan,1,Jt cmte on Adams's motion,,Feb,6,1807,9,10,,
milledge,1,Jt cmte on Adams's motion,,Feb,6,1807,9,10,,
pickering,1,Jt cmte on Adams's motion,,Feb,6,1807,9,10,,
plumer,1,Jt cmte on Adams's motion,,Feb,6,1807,9,10,,
smith,2,Jt cmte on Adams's motion,,Feb,6,1807,9,10,Israel,VT
stone,3,Jt cmte on Adams's motion,,Feb,6,1807,9,10,,
sumter,1,Jt cmte on Adams's motion,,Feb,6,1807,9,10,,
tracy,2,Jt cmte on Adams's motion,,Feb,6,1807,9,10,,
turner,2,Jt cmte on Adams's motion,,Feb,6,1807,9,10,,
white,2,Jt cmte on Adams's motion,,Feb,6,1807,9,10,,
adams,1,cmte on nomination of Julian Poydrass,,Feb,9,1807,9,10,,
baldwin,6,cmte on nomination of Julian Poydrass,,Feb,9,1807,9,10,,
bayard,3,cmte on nomination of Julian Poydrass,,Feb,9,1807,9,10,,
bradley,16,cmte on nomination of Julian Poydrass,,Feb,9,1807,9,10,,
gaillard,1,cmte on nomination of Julian Poydrass,,Feb,9,1807,9,10,,
giles,10,cmte on nomination of Julian Poydrass,,Feb,9,1807,9,10,,
gilman,1,cmte on nomination of Julian Poydrass,,Feb,9,1807,9,10,,
hillhouse,1,cmte on nomination of Julian Poydrass,,Feb,9,1807,9,10,,
mitchill,2,cmte on nomination of Julian Poydrass,,Feb,9,1807,9,10,,
pickering,1,cmte on nomination of Julian Poydrass,,Feb,9,1807,9,10,,
smith,1,cmte on nomination of Julian Poydrass,,Feb,9,1807,9,10,Israel,VT
sumter,2,cmte on nomination of Julian Poydrass,,Feb,9,1807,9,10,,
thruston,1,cmte on nomination of Julian Poydrass,,Feb,9,1807,9,10,,
tracy,11,cmte on nomination of Julian Poydrass,,Feb,9,1807,9,10,,
turner,2,cmte on nomination of Julian Poydrass,,Feb,9,1807,9,10,,
worthington,4,cmte on nomination of Julian Poydrass,,Feb,9,1807,9,10,,
adams,8,cmte bill on Washington DC Jurors,,Feb,11,1807,9,10,,
baldwin,2,cmte bill on Washington DC Jurors,,Feb,11,1807,9,10,,
bayard,1,cmte bill on Washington DC Jurors,,Feb,11,1807,9,10,,
bradley,7,cmte bill on Washington DC Jurors,,Feb,11,1807,9,10,,
condit,3,cmte bill on Washington DC Jurors,,Feb,11,1807,9,10,,
fenner,1,cmte bill on Washington DC Jurors,,Feb,11,1807,9,10,,
giles,1,cmte bill on Washington DC Jurors,,Feb,11,1807,9,10,,
gilman,2,cmte bill on Washington DC Jurors,,Feb,11,1807,9,10,,
howland,1,cmte bill on Washington DC Jurors,,Feb,11,1807,9,10,,
maclay,1,cmte bill on Washington DC Jurors,,Feb,11,1807,9,10,,
milledge,2,cmte bill on Washington DC Jurors,,Feb,11,1807,9,10,,
mitchill,1,cmte bill on Washington DC Jurors,,Feb,11,1807,9,10,,
moore,3,cmte bill on Washington DC Jurors,,Feb,11,1807,9,10,,
plumer,2,cmte bill on Washington DC Jurors,,Feb,11,1807,9,10,,
reed,3,cmte bill on Washington DC Jurors,,Feb,11,1807,9,10,,
smith,1,cmte bill on Washington DC Jurors,,Feb,11,1807,9,10,Israel,VT
thruston,2,cmte bill on Washington DC Jurors,,Feb,11,1807,9,10,,
tracy,4,cmte bill on Washington DC Jurors,,Feb,11,1807,9,10,,
adams,4,cmte on memorial of Philadelphia merchants drawback,,Feb,12,1807,9,10,,
baldwin,1,cmte on memorial of Philadelphia merchants drawback,,Feb,12,1807,9,10,,
bayard,1,cmte on memorial of Philadelphia merchants drawback,,Feb,12,1807,9,10,,
bradley,5,cmte on memorial of Philadelphia merchants drawback,,Feb,12,1807,9,10,,
condit,1,cmte on memorial of Philadelphia merchants drawback,,Feb,12,1807,9,10,,
fenner,1,cmte on memorial of Philadelphia merchants drawback,,Feb,12,1807,9,10,,
gaillard,1,cmte on memorial of Philadelphia merchants drawback,,Feb,12,1807,9,10,,
giles,2,cmte on memorial of Philadelphia merchants drawback,,Feb,12,1807,9,10,,
gilman,2,cmte on memorial of Philadelphia merchants drawback,,Feb,12,1807,9,10,,
kitchell,1,cmte on memorial of Philadelphia merchants drawback,,Feb,12,1807,9,10,,
logan,12,cmte on memorial of Philadelphia merchants drawback,,Feb,12,1807,9,10,,
maclay,2,cmte on memorial of Philadelphia merchants drawback,,Feb,12,1807,9,10,,
mitchill,4,cmte on memorial of Philadelphia merchants drawback,,Feb,12,1807,9,10,,
moore,1,cmte on memorial of Philadelphia merchants drawback,,Feb,12,1807,9,10,,
plumer,1,cmte on memorial of Philadelphia merchants drawback,,Feb,12,1807,9,10,,
smith,4,cmte on memorial of Philadelphia merchants drawback,,Feb,12,1807,9,10,John,NY
smith,1,cmte on memorial of Philadelphia merchants drawback,,Feb,12,1807,9,10,Daniel,TN
smith,1,cmte on memorial of Philadelphia merchants drawback,,Feb,12,1807,9,10,Israel,VT
sumter,3,cmte on memorial of Philadelphia merchants drawback,,Feb,12,1807,9,10,,
thruston,1,cmte on memorial of Philadelphia merchants drawback,,Feb,12,1807,9,10,,
tracy,1,cmte on memorial of Philadelphia merchants drawback,,Feb,12,1807,9,10,,
turner,3,cmte on memorial of Philadelphia merchants drawback,,Feb,12,1807,9,10,,
white,1,cmte on memorial of Philadelphia merchants drawback,,Feb,12,1807,9,10,,
adams,4,Cmte on Bayard's motion re banks & insurance companies,,Feb,12,1807,9,10,,
baldwin,2,Cmte on Bayard's motion re banks & insurance companies,,Feb,12,1807,9,10,,
bayard,17,Cmte on Bayard's motion re banks & insurance companies,,Feb,12,1807,9,10,,
bradley,8,Cmte on Bayard's motion re banks & insurance companies,,Feb,12,1807,9,10,,
fenner,2,Cmte on Bayard's motion re banks & insurance companies,,Feb,12,1807,9,10,,
clay,2,Cmte on Bayard's motion re banks & insurance companies,,Feb,12,1807,9,10,,
giles,4,Cmte on Bayard's motion re banks & insurance companies,,Feb,12,1807,9,10,,
gilman,2,Cmte on Bayard's motion re banks & insurance companies,,Feb,12,1807,9,10,,
howland,1,Cmte on Bayard's motion re banks & insurance companies,,Feb,12,1807,9,10,,
kitchell,3,Cmte on Bayard's motion re banks & insurance companies,,Feb,12,1807,9,10,,
maclay,1,Cmte on Bayard's motion re banks & insurance companies,,Feb,12,1807,9,10,,
mitchill,2,Cmte on Bayard's motion re banks & insurance companies,,Feb,12,1807,9,10,,
moore,1,Cmte on Bayard's motion re banks & insurance companies,,Feb,12,1807,9,10,,
pickering,2,Cmte on Bayard's motion re banks & insurance companies,,Feb,12,1807,9,10,,
reed,3,Cmte on Bayard's motion re banks & insurance companies,,Feb,12,1807,9,10,,
smith,5,Cmte on Bayard's motion re banks & insurance companies,,Feb,12,1807,9,10,John,NY
smith,2,Cmte on Bayard's motion re banks & insurance companies,,Feb,12,1807,9,10,Israel,VT
stone,1,Cmte on Bayard's motion re banks & insurance companies,,Feb,12,1807,9,10,,
sumter,1,Cmte on Bayard's motion re banks & insurance companies,,Feb,12,1807,9,10,,
tracy,5,Cmte on Bayard's motion re banks & insurance companies,,Feb,12,1807,9,10,,
turner,2,Cmte on Bayard's motion re banks & insurance companies,,Feb,12,1807,9,10,,
worthington,2,Cmte on Bayard's motion re banks & insurance companies,,Feb,12,1807,9,10,,
adams,2,Cmte on amendment to bill to prohibit importation of slaves,,Feb,19,1807,9,10,,
baldwin,10,Cmte on amendment to bill to prohibit importation of slaves,,Feb,19,1807,9,10,,
bayard,2,Cmte on amendment to bill to prohibit importation of slaves,,Feb,19,1807,9,10,,
bradley,20,Cmte on amendment to bill to prohibit importation of slaves,,Feb,19,1807,9,10,,
gaillard,3,Cmte on amendment to bill to prohibit importation of slaves,,Feb,19,1807,9,10,,
giles,11,Cmte on amendment to bill to prohibit importation of slaves,,Feb,19,1807,9,10,,
hillhouse,1,Cmte on amendment to bill to prohibit importation of slaves,,Feb,19,1807,9,10,,
maclay,1,Cmte on amendment to bill to prohibit importation of slaves,,Feb,19,1807,9,10,,
moore,1,Cmte on amendment to bill to prohibit importation of slaves,,Feb,19,1807,9,10,,
smith,1,Cmte on amendment to bill to prohibit importation of slaves,,Feb,19,1807,9,10,John,NY
smith,1,Cmte on amendment to bill to prohibit importation of slaves,,Feb,19,1807,9,10,John,OH
smith,1,Cmte on amendment to bill to prohibit importation of slaves,,Feb,19,1807,9,10,Israel,VT
stone,2,Cmte on amendment to bill to prohibit importation of slaves,,Feb,19,1807,9,10,,
tracy,2,Cmte on amendment to bill to prohibit importation of slaves,,Feb,19,1807,9,10,,
turner,5,Cmte on amendment to bill to prohibit importation of slaves,,Feb,19,1807,9,10,,
anderson,1,Cmte on bill to prohibit export of arms,,Dec,13,1805,9,10,,
baldwin,6,Cmte on bill to prohibit export of arms,,Dec,13,1805,9,10,,
bradley,11,Cmte on bill to prohibit export of arms,,Dec,13,1805,9,10,,
condit,2,Cmte on bill to prohibit export of arms,,Dec,13,1805,9,10,,
fenner,1,Cmte on bill to prohibit export of arms,,Dec,13,1805,9,10,,
gaillard,3,Cmte on bill to prohibit export of arms,,Dec,13,1805,9,10,,
gilman,1,Cmte on bill to prohibit export of arms,,Dec,13,1805,9,10,,
